.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model20,0.8732142857142857,0.4567901234567901,0.6111111111111112,0.42045454545454547,0.529,13,11,631,20,3.919231394557771e-4
Preprocessor1_Model10,0.8089285714285713,0.4807017543859649,0.6368421052631579,0.38920454545454547,0.5305,16,15,995,20,0.0022208196137150026
Preprocessor1_Model16,0.7857142857142858,0.48854961832061067,0.6526717557251909,0.36363636363636365,0.541,16,12,826,19,0.005337767553276418
Preprocessor1_Model18,0.7410714285714284,0.4790874524714829,0.6444866920152091,0.35795454545454547,0.5395,15,16,793,21,0.009645331028366901
Preprocessor1_Model22,0.6732142857142857,0.4749034749034749,0.640926640926641,0.3494318181818182,0.528,17,15,779,19,0.004851398232124906
Preprocessor1_Model24,0.6696428571428571,0.4444444444444444,0.6049382716049383,0.4090909090909091,0.5165,14,12,716,27,2.1177111735247377e-4
Preprocessor1_Model19,0.6678571428571428,0.4472843450479233,0.6118210862619808,0.3977272727272727,0.5105,17,12,749,18,1.1045025629849161e-4
Preprocessor1_Model05,0.6642857142857143,0.4504792332268371,0.6038338658146964,0.4005681818181818,0.5115,12,14,866,22,6.409159393968939e-4
Preprocessor1_Model02,0.6553571428571429,0.45,0.6083333333333333,0.3835227272727273,0.525,14,17,876,18,0.0011084181091165326
Preprocessor1_Model15,0.6482142857142856,0.4504792332268371,0.6038338658146964,0.4005681818181818,0.51,15,12,654,24,5.272256003399164e-4
Preprocessor1_Model13,0.6214285714285714,0.4444444444444444,0.6049382716049383,0.4090909090909091,0.51,14,15,669,28,1.638236438097411e-4
Preprocessor1_Model28,0.6160714285714286,0.44272445820433437,0.6037151702786377,0.40625,0.5245,13,12,623,17,1.591022327493485e-4
Preprocessor1_Model01,0.5089285714285714,0.44715447154471544,0.6219512195121951,0.3125,0.52,13,17,754,25,0.006910979490060157
Preprocessor1_Model12,0.5089285714285714,0.44932432432432434,0.6030405405405406,0.3778409090909091,0.513,15,14,939,30,0.0017212098075639656
Preprocessor1_Model26,0.48571428571428577,0.44983818770226536,0.6019417475728155,0.39488636363636365,0.5065,16,14,837,27,0.0010419391639578373
Preprocessor1_Model25,0.4839285714285714,0.45112781954887216,0.6109022556390977,0.3409090909090909,0.5075,18,16,700,24,0.004071270293803214
Preprocessor1_Model04,0.46785714285714286,0.4483870967741935,0.6016129032258064,0.39488636363636365,0.5085,18,15,968,21,8.096265908879254e-4
Preprocessor1_Model07,0.4303571428571428,0.4453125,0.6171875,0.32386363636363635,0.5085,17,11,916,27,0.0035965815982917848
Preprocessor1_Model14,0.41964285714285715,0.4440894568690096,0.6022364217252396,0.39488636363636365,0.4955,18,14,926,23,1.2942779388411428e-4
Preprocessor1_Model21,0.4196428571428571,0.4414715719063545,0.6036789297658863,0.375,0.513,18,16,809,26,0.0024031694524048524
Preprocessor1_Model09,0.40178571428571425,0.43613707165109034,0.5934579439252337,0.3977272727272727,0.5135,12,13,696,30,7.250496195394334e-4
Preprocessor1_Model29,0.32499999999999996,0.4380952380952381,0.5984126984126984,0.39204545454545453,0.496,18,11,796,29,4.4400020038961983e-4
Preprocessor1_Model06,0.3089285714285714,0.43288590604026844,0.5956375838926175,0.3664772727272727,0.521,13,17,980,21,0.001843560368298342
Preprocessor1_Model11,0.2964285714285714,0.4339622641509434,0.5974842767295597,0.39204545454545453,0.496,16,13,892,31,3.452156174262177e-4
Preprocessor1_Model03,0.2714285714285714,0.4429065743944637,0.5934256055363322,0.36363636363636365,0.5125,15,16,731,29,0.0029287006119914044
Preprocessor1_Model08,0.2375,0.4262295081967213,0.5885245901639344,0.3693181818181818,0.5135,13,13,958,22,0.0013852478619967086
Preprocessor1_Model27,0.15357142857142855,0.425,0.6020833333333333,0.2897727272727273,0.5085,14,15,606,28,0.007452946744843716
Preprocessor1_Model23,0.11785714285714283,0.42857142857142855,0.5940766550522648,0.3494318181818182,0.488,19,13,660,23,2.3036607861891416e-4
Preprocessor1_Model17,0.06428571428571428,0.4098360655737705,0.5819672131147541,0.35511363636363635,0.478,19,14,850,25,2.64023794680555e-4
