.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model05,0.9708333333333332,0.29683698296836986,0.40389294403892945,0.3288409703504043,0.5109090909090909,16,9,505,17,1.188848029722247e-4
Preprocessor1_Model24,0.9583333333333333,0.28967254408060455,0.4093198992443325,0.30997304582210244,0.5109090909090909,16,8,468,27,2.65712336653513e-4
Preprocessor1_Model15,0.8791666666666667,0.2773722627737226,0.4002433090024331,0.30727762803234504,0.49636363636363634,13,10,743,29,0.008498461463002226
Preprocessor1_Model18,0.8270833333333333,0.2794759825327511,0.3864628820960699,0.3450134770889488,0.47909090909090907,14,11,441,29,3.415944238487435e-4
Preprocessor1_Model04,0.8229166666666665,0.2591687041564792,0.40097799511002447,0.2857142857142857,0.48363636363636364,12,10,606,21,0.003572595392670719
Preprocessor1_Model07,0.7604166666666666,0.25882352941176473,0.3941176470588235,0.29649595687331537,0.4763636363636364,13,9,712,23,0.005878069133834959
Preprocessor1_Model16,0.7270833333333333,0.256857855361596,0.39276807980049877,0.2776280323450135,0.48545454545454547,14,7,639,20,0.0044312747123913775
Preprocessor1_Model13,0.7124999999999999,0.25831202046035806,0.38235294117647056,0.2722371967654987,0.4909090909090909,15,8,587,20,0.007057265329809401
Preprocessor1_Model20,0.6729166666666666,0.2572062084257206,0.38137472283813745,0.31266846361185985,0.4636363636363636,13,11,732,31,7.274163057906692e-4
Preprocessor1_Model01,0.60625,0.24615384615384617,0.3858974358974359,0.2587601078167116,0.4827272727272727,16,9,657,22,0.0030460290994130525
Preprocessor1_Model08,0.5750000000000001,0.2469437652811736,0.3740831295843521,0.2722371967654987,0.47454545454545455,16,6,642,21,0.005211551308062423
Preprocessor1_Model12,0.5395833333333333,0.2511961722488038,0.35645933014354064,0.2830188679245283,0.47363636363636363,14,10,548,18,1.206193669885869e-4
Preprocessor1_Model10,0.5333333333333333,0.24608501118568232,0.3691275167785235,0.29649595687331537,0.45636363636363636,12,6,790,29,6.072250546706474e-4
Preprocessor1_Model22,0.3979166666666667,0.23541666666666666,0.353125,0.3045822102425876,0.4318181818181818,14,6,570,22,4.99814631275898e-4
Preprocessor1_Model17,0.37916666666666665,0.22323462414578588,0.3564920273348519,0.2641509433962264,0.44181818181818183,12,9,532,26,0.0011411386766172918
Preprocessor1_Model09,0.3625,0.22045454545454546,0.3568181818181818,0.261455525606469,0.4390909090909091,13,7,770,19,8.805743951757034e-4
Preprocessor1_Model19,0.35833333333333334,0.2182254196642686,0.36330935251798563,0.24528301886792453,0.4490909090909091,15,8,412,19,0.0025086058922701407
Preprocessor1_Model14,0.3,0.21628498727735368,0.3422391857506361,0.22911051212938005,0.46,17,7,514,28,0.0017818216340689745
Preprocessor1_Model02,0.27499999999999997,0.21568627450980393,0.3480392156862745,0.2371967654986523,0.45181818181818184,14,7,450,26,0.001962736603804435
Preprocessor1_Model11,0.19583333333333333,0.21296296296296297,0.33912037037037035,0.24797843665768193,0.43727272727272726,15,8,613,25,3.947437323050239e-4
Preprocessor1_Model06,0.19374999999999998,0.21369294605809128,0.3309128630705394,0.2776280323450135,0.4118181818181818,15,5,759,23,1.675156328341925e-4
Preprocessor1_Model03,0.14791666666666667,0.21063829787234042,0.3276595744680851,0.2668463611859838,0.41545454545454547,16,5,691,27,2.033761430615613e-4
Preprocessor1_Model21,0.11875,0.18478260869565216,0.31521739130434784,0.18328840970350405,0.45181818181818184,17,6,676,30,0.0010557558941294333
Preprocessor1_Model25,0.10833333333333334,0.20935412026726058,0.32405345211581293,0.25336927223719674,0.4254545454545455,14,9,420,24,2.4599171365457173e-4
Preprocessor1_Model23,0.0375,0.18337408312958436,0.3105134474327628,0.20215633423180593,0.42727272727272725,16,10,481,24,0.0014948242730810114
