.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model12,0.9892857142857143,0.29844961240310075,0.5,0.2873134328358209,0.6457142857142857,16,5,638,25,1.2603871101794052e-4
Preprocessor1_Model06,0.7821428571428571,0.27058823529411763,0.47058823529411764,0.2574626865671642,0.6333333333333333,16,7,533,28,0.0017080961871597366
Preprocessor1_Model02,0.7749999999999999,0.26296296296296295,0.48518518518518516,0.26492537313432835,0.6228571428571429,15,6,783,24,1.624233080928333e-4
Preprocessor1_Model01,0.6785714285714286,0.26031746031746034,0.4873015873015873,0.30597014925373134,0.6009523809523809,12,9,594,24,5.228834985345105e-4
Preprocessor1_Model10,0.6428571428571428,0.26136363636363635,0.4640151515151515,0.2574626865671642,0.6247619047619047,16,8,586,29,9.67220597804732e-4
Preprocessor1_Model07,0.6285714285714286,0.25925925925925924,0.48148148148148145,0.26119402985074625,0.6209523809523809,15,8,730,26,3.21621189898566e-4
Preprocessor1_Model11,0.5642857142857143,0.25984251968503935,0.4468503937007874,0.2462686567164179,0.6285714285714286,13,8,478,27,0.005051622932124614
Preprocessor1_Model13,0.5071428571428571,0.2491103202846975,0.46441281138790036,0.26119402985074625,0.6104761904761905,12,9,480,28,8.324218244546232e-4
Preprocessor1_Model04,0.5,0.2508710801393728,0.4547038327526132,0.26865671641791045,0.6085714285714285,14,6,689,23,4.1237237209357686e-4
Preprocessor1_Model03,0.47857142857142854,0.2374429223744292,0.4406392694063927,0.19402985074626866,0.6352380952380953,14,7,420,29,0.0030478665292683507
Preprocessor1_Model08,0.3499999999999999,0.22767857142857142,0.4375,0.19029850746268656,0.6285714285714286,15,8,751,30,0.0021980383262788757
Preprocessor1_Model09,0.22499999999999998,0.21311475409836064,0.4077868852459016,0.19402985074626866,0.6114285714285714,13,7,699,31,0.0014151934528874835
Preprocessor1_Model05,0.13928571428571426,0.2037735849056604,0.41509433962264153,0.20149253731343283,0.5952380952380952,16,5,643,27,0.009067771700409942
Preprocessor1_Model14,0.13571428571428568,0.196,0.438,0.1828358208955224,0.6,17,6,546,25,2.046352482127017e-4
Preprocessor1_Model15,0.05357142857142857,0.16972477064220184,0.3761467889908257,0.13805970149253732,0.6076190476190476,13,7,448,30,0.006776807281837803
