.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model05,0.9678571428571429,0.47470817120622566,0.60116731517509725,0.3663663663663664,0.6704761904761904,13,8,683,24,1.0717871231132992e-4
Preprocessor1_Model06,0.9,0.4555160142348754,0.597864768683274,0.3843843843843844,0.659047619047619,14,7,619,29,3.409753641426176e-4
Preprocessor1_Model07,0.8107142857142857,0.45689655172413796,0.5797413793103449,0.3183183183183183,0.6638095238095238,17,7,772,28,0.0028382727392019824
Preprocessor1_Model10,0.7964285714285714,0.4453125,0.595703125,0.34234234234234234,0.6561904761904762,17,9,485,26,0.004764935292969639
Preprocessor1_Model04,0.7178571428571429,0.4392857142857143,0.5714285714285714,0.36936936936936937,0.6504761904761904,14,6,734,29,2.487449692537336e-4
Preprocessor1_Model12,0.5964285714285714,0.4291845493562232,0.5643776824034334,0.3003003003003003,0.6514285714285715,14,8,524,31,0.0033042019319026493
Preprocessor1_Model03,0.44999999999999996,0.4232081911262799,0.537542662116041,0.37237237237237236,0.64,16,6,455,30,0.009681745299767716
Preprocessor1_Model13,0.43571428571428567,0.4217391304347826,0.5543478260869565,0.2912912912912913,0.6485714285714286,15,8,788,27,9.888530636777257e-4
Preprocessor1_Model01,0.3928571428571428,0.423728813559322,0.5254237288135594,0.3003003003003003,0.6485714285714286,12,6,538,25,1.5829221191323157e-4
Preprocessor1_Model09,0.3857142857142857,0.4206008583690987,0.5536480686695279,0.29429429429429427,0.6476190476190476,12,8,707,27,0.001910594341162085
Preprocessor1_Model02,0.37857142857142856,0.4153846153846154,0.5384615384615384,0.32432432432432434,0.6409523809523809,16,5,451,27,0.0015454063147836432
Preprocessor1_Model14,0.24642857142857139,0.41509433962264153,0.5245283018867924,0.3303303303303303,0.64,15,6,584,24,0.007313054773161698
Preprocessor1_Model11,0.17857142857142855,0.3902439024390244,0.519163763066202,0.33633633633633636,0.6228571428571429,15,7,598,30,7.39350014925185e-4
Preprocessor1_Model15,0.14285714285714285,0.3779527559055118,0.5374015748031497,0.2882882882882883,0.6238095238095238,15,9,419,24,4.5024898517465777e-4
Preprocessor1_Model08,0.05357142857142857,0.3759124087591241,0.5182481751824818,0.30930930930930933,0.6180952380952381,13,5,641,25,5.820141193860367e-4
