.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model03,1,0.46551724137931033,0.6149425287356322,0.49240121580547114,0.6638095238095238,14,5,503,23,8.145714644252208e-4
Preprocessor1_Model15,0.8392857142857142,0.40476190476190477,0.5740740740740741,0.46504559270516715,0.6180952380952381,14,7,623,28,0.0013934355879148238
Preprocessor1_Model08,0.8142857142857143,0.4082687338501292,0.5322997416020672,0.48024316109422494,0.6190476190476191,15,6,583,30,1.4967242166901302e-4
Preprocessor1_Model09,0.6821428571428572,0.39543726235741444,0.5380228136882129,0.3161094224924012,0.6342857142857142,12,6,439,26,6.293059002714523e-4
Preprocessor1_Model01,0.6607142857142857,0.3712574850299401,0.5538922155688623,0.3768996960486322,0.6047619047619047,14,8,763,26,9.442045126908064e-4
Preprocessor1_Model11,0.6464285714285714,0.3859223300970874,0.5242718446601942,0.48328267477203646,0.5971428571428572,16,9,518,30,1.8900066015021776e-4
Preprocessor1_Model06,0.6428571428571428,0.3699421965317919,0.541907514450867,0.3890577507598784,0.6009523809523809,13,6,413,31,0.0028462206848554822
Preprocessor1_Model02,0.4749999999999999,0.36239782016348776,0.5245231607629428,0.40425531914893614,0.5904761904761905,13,6,551,24,0.003621290444193782
Preprocessor1_Model13,0.43214285714285716,0.36666666666666664,0.5238095238095238,0.46808510638297873,0.58,17,7,784,29,4.2466848064298294e-4
Preprocessor1_Model12,0.37499999999999994,0.36023054755043227,0.5187319884726225,0.3799392097264438,0.5942857142857143,16,5,739,27,0.008783997531087469
Preprocessor1_Model04,0.23571428571428568,0.34540389972144847,0.5167130919220055,0.3768996960486322,0.580952380952381,16,8,458,26,0.0018540324478576958
Preprocessor1_Model05,0.18214285714285713,0.3450479233226837,0.4936102236421725,0.3282674772036474,0.5942857142857143,12,8,679,25,1.3324402532894912e-4
Preprocessor1_Model14,0.18214285714285713,0.3523573200992556,0.4913151364764268,0.4316109422492401,0.5733333333333334,15,9,606,29,2.701600975676978e-4
Preprocessor1_Model07,0.17857142857142858,0.3448275862068966,0.5086206896551724,0.364741641337386,0.5838095238095238,15,8,717,25,0.006675237701716003
Preprocessor1_Model10,0.12499999999999999,0.34054054054054056,0.5081081081081081,0.3829787234042553,0.5742857142857143,17,7,653,28,0.005241882640017247
