.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model02,0.9357142857142857,0.5679012345679012,0.6934156378600823,0.3709677419354839,0.6771428571428572,12,8,581,25,0.003966654923333812
Preprocessor1_Model03,0.8,0.5541125541125541,0.6753246753246753,0.34408602150537637,0.6695238095238095,13,6,791,26,0.00872933749027054
Preprocessor1_Model15,0.7964285714285714,0.5152542372881356,0.6559322033898305,0.40860215053763443,0.6542857142857142,14,7,648,30,7.477361060632103e-4
Preprocessor1_Model01,0.7714285714285714,0.5219123505976095,0.6613545816733067,0.3521505376344086,0.6561904761904762,13,7,536,23,1.3018905725652259e-4
Preprocessor1_Model06,0.7464285714285714,0.5105633802816901,0.6566901408450704,0.3897849462365591,0.6514285714285715,15,8,420,28,2.4338764855635163e-4
Preprocessor1_Model04,0.5857142857142856,0.487012987012987,0.6347402597402597,0.4032258064516129,0.638095238095238,15,5,611,27,4.6551688698936967e-4
Preprocessor1_Model13,0.5464285714285715,0.5103734439834025,0.6535269709543569,0.33064516129032256,0.6504761904761904,13,6,703,26,0.004993078496284819
Preprocessor1_Model08,0.48571428571428565,0.49808429118773945,0.6226053639846744,0.34946236559139787,0.6447619047619048,14,5,514,31,0.00617338533069156
Preprocessor1_Model14,0.35714285714285715,0.47202797202797203,0.6048951048951049,0.3629032258064516,0.6304761904761905,15,8,459,28,0.0011449747337981858
Preprocessor1_Model09,0.31071428571428567,0.46153846153846156,0.6220735785953178,0.3709677419354839,0.6238095238095238,16,8,679,29,1.7347235038312278e-4
Preprocessor1_Model12,0.30357142857142855,0.47101449275362317,0.6086956521739131,0.34946236559139787,0.6304761904761905,17,9,728,29,0.001708753198088197
Preprocessor1_Model07,0.2714285714285714,0.46273291925465837,0.5962732919254659,0.40053763440860213,0.6228571428571429,14,8,770,25,0.0013233789355059774
Preprocessor1_Model05,0.25357142857142856,0.4536741214057508,0.610223642172524,0.3817204301075269,0.6180952380952381,13,6,617,24,3.232096640868402e-4
Preprocessor1_Model10,0.24285714285714283,0.46830985915492956,0.5950704225352113,0.3575268817204301,0.6285714285714286,16,6,427,24,0.0027126567952090747
Preprocessor1_Model11,0.05357142857142857,0.4342105263157895,0.5756578947368421,0.3548387096774194,0.6076190476190476,17,7,498,30,4.592958446969921e-4
