.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model05,0.8892857142857142,0.41944444444444445,0.5680555555555555,0.3922077922077922,0.5780952380952381,15,5,766,27,3.193296373719451e-4
Preprocessor1_Model13,0.8821428571428571,0.4241379310344828,0.5758620689655173,0.3194805194805195,0.5914285714285714,17,9,630,24,5.278295370137909e-4
Preprocessor1_Model03,0.8785714285714286,0.4166666666666667,0.5704022988505747,0.37662337662337664,0.5780952380952381,15,9,511,25,0.001597807556726912
Preprocessor1_Model07,0.7107142857142856,0.4086687306501548,0.565015479876161,0.34285714285714286,0.5771428571428572,13,6,450,23,0.0032098443568699163
Preprocessor1_Model06,0.6071428571428571,0.40059347181008903,0.5385756676557863,0.35064935064935066,0.5695238095238095,16,8,694,30,3.988336033168485e-4
Preprocessor1_Model11,0.6035714285714285,0.39664804469273746,0.5460893854748603,0.36883116883116884,0.5628571428571428,13,8,685,26,7.627758491078104e-4
Preprocessor1_Model02,0.5892857142857143,0.39296187683284456,0.5498533724340176,0.34805194805194806,0.5638095238095238,14,6,488,30,0.001263815310046785
Preprocessor1_Model01,0.4821428571428571,0.3753501400560224,0.5658263305322129,0.34805194805194806,0.5485714285714286,17,8,736,28,0.006359588191524674
Preprocessor1_Model04,0.4714285714285714,0.3780487804878049,0.5594512195121951,0.3220779220779221,0.5571428571428572,16,6,778,31,0.0049250772333450715
Preprocessor1_Model12,0.3714285714285714,0.3799392097264438,0.5197568389057751,0.3246753246753247,0.5580952380952381,13,7,589,29,1.0900476156009029e-4
Preprocessor1_Model15,0.29999999999999993,0.37310195227765725,0.5216919739696312,0.44675324675324674,0.5219047619047619,15,7,469,24,0.008427627242617015
Preprocessor1_Model14,0.2928571428571428,0.37183098591549296,0.5394366197183098,0.34285714285714286,0.5466666666666666,12,7,646,29,0.00265599118624368
Preprocessor1_Model10,0.17500000000000002,0.3653250773993808,0.5185758513931888,0.3064935064935065,0.5504761904761905,12,8,405,25,1.8030735771404376e-4
Preprocessor1_Model09,0.11428571428571428,0.3577981651376147,0.5229357798165137,0.3038961038961039,0.5447619047619048,14,5,571,28,0.0011497364716477792
Preprocessor1_Model08,0.075,0.3613707165109034,0.5031152647975078,0.3012987012987013,0.5485714285714286,14,7,548,27,1.935602887061978e-4
