.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model05,0.9571428571428571,0.49458483754512633,0.6588447653429603,0.3549222797927461,0.6295238095238095,14,7,403,23,0.006134764154537517
Preprocessor1_Model13,0.8607142857142857,0.47318611987381703,0.6529968454258676,0.38860103626943004,0.6161904761904762,12,6,599,31,0.0024726472267536507
Preprocessor1_Model15,0.8214285714285714,0.4849624060150376,0.6484962406015038,0.33419689119170987,0.6247619047619047,15,9,702,26,0.005040021948232923
Preprocessor1_Model11,0.7178571428571429,0.47151898734177217,0.6360759493670886,0.3860103626943005,0.6152380952380953,17,5,577,30,9.158929798028359e-4
Preprocessor1_Model07,0.7071428571428572,0.47058823529411764,0.6388888888888888,0.37305699481865284,0.6152380952380953,16,6,496,29,0.0032272938823979407
Preprocessor1_Model02,0.6964285714285714,0.47619047619047616,0.6208791208791209,0.33678756476683935,0.62,12,5,651,26,1.255580811864988e-4
Preprocessor1_Model08,0.5321428571428571,0.43564356435643564,0.6221122112211221,0.34196891191709844,0.5952380952380952,13,8,669,24,0.0019611929452301095
Preprocessor1_Model10,0.5071428571428571,0.4470588235294118,0.6313725490196078,0.29533678756476683,0.6066666666666667,17,9,458,25,0.009340866340068211
Preprocessor1_Model01,0.4928571428571428,0.415041782729805,0.5988857938718662,0.3860103626943005,0.5742857142857143,14,6,547,24,0.0013060201785097428
Preprocessor1_Model04,0.32499999999999996,0.39628482972136225,0.5758513931888545,0.3316062176165803,0.5685714285714286,13,7,739,29,7.50953295512556e-4
Preprocessor1_Model09,0.3214285714285714,0.3861671469740634,0.5749279538904899,0.3471502590673575,0.5571428571428572,15,8,792,29,2.0422548164130734e-4
Preprocessor1_Model03,0.20357142857142857,0.382089552238806,0.5746268656716418,0.3316062176165803,0.5571428571428572,14,7,510,26,6.185709347077627e-4
Preprocessor1_Model12,0.11428571428571427,0.3805309734513274,0.556047197640118,0.33419689119170987,0.5552380952380952,15,8,432,27,3.0123449269734743e-4
Preprocessor1_Model14,0.11071428571428571,0.3787878787878788,0.5651515151515152,0.3238341968911917,0.5561904761904762,16,6,773,28,1.562213369593213e-4
Preprocessor1_Model06,0.04285714285714285,0.378698224852071,0.5636094674556213,0.3316062176165803,0.5542857142857143,14,8,631,28,3.770198078762162e-4
