.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model05,0.9785714285714285,0.5259259259259259,0.6444444444444445,0.35678391959798994,0.6342857142857142,16,5,469,31,3.623481184147874e-4
Preprocessor1_Model12,0.9285714285714286,0.5044776119402985,0.6104477611940299,0.42462311557788945,0.6238095238095238,17,6,440,24,2.3879551283260243e-4
Preprocessor1_Model13,0.7821428571428571,0.45454545454545453,0.589572192513369,0.4271356783919598,0.5885714285714285,13,8,553,24,1.0548696852000902e-4
Preprocessor1_Model07,0.7607142857142857,0.4641638225255973,0.5750853242320819,0.3417085427135678,0.6009523809523809,12,7,773,23,1.6759148796176803e-4
Preprocessor1_Model04,0.7214285714285714,0.4548872180451128,0.5883458646616542,0.30402010050251255,0.5980952380952381,16,9,651,30,0.002257722648646651
Preprocessor1_Model10,0.6642857142857143,0.44333333333333336,0.5816666666666667,0.3341708542713568,0.5885714285714285,13,8,599,27,2.8034618771917354e-4
Preprocessor1_Model01,0.5642857142857143,0.4334470989761092,0.5784982935153583,0.31909547738693467,0.5838095238095238,15,6,565,27,6.725582068252372e-4
Preprocessor1_Model09,0.42857142857142855,0.4304635761589404,0.5678807947019867,0.32663316582914576,0.580952380952381,13,5,778,29,9.557785451316605e-4
Preprocessor1_Model14,0.4107142857142857,0.4312977099236641,0.5610687022900763,0.28391959798994976,0.5866666666666667,15,7,727,29,0.0011998021903493667
Preprocessor1_Model15,0.3964285714285714,0.4205607476635514,0.5747663551401869,0.3391959798994975,0.5723809523809524,16,8,420,25,0.0016053188434586119
Preprocessor1_Model02,0.37857142857142856,0.42160278745644597,0.5679442508710801,0.30402010050251255,0.5780952380952381,14,8,514,27,5.374876710201433e-4
Preprocessor1_Model06,0.22142857142857142,0.40892193308550184,0.5594795539033457,0.27638190954773867,0.5742857142857143,16,8,667,28,0.0037285561618861534
Preprocessor1_Model11,0.16428571428571426,0.3986013986013986,0.548951048951049,0.2864321608040201,0.5657142857142857,14,7,495,25,0.004215013562243569
Preprocessor1_Model03,0.06071428571428571,0.3709090909090909,0.5363636363636364,0.2562814070351759,0.5533333333333333,15,7,631,28,0.006683075870892751
Preprocessor1_Model08,0.010714285714285713,0.3649122807017544,0.5333333333333333,0.2613065326633166,0.5476190476190477,14,6,702,26,0.007663397805819777
