.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model12,0.9571428571428571,0.3882978723404255,0.5598404255319149,0.4605678233438486,0.599,13,5,735,30,0.009087399550914194
Preprocessor1_Model07,0.9178571428571429,0.3850129198966408,0.5490956072351422,0.47003154574132494,0.594,16,8,596,27,0.005442161074752015
Preprocessor1_Model04,0.8214285714285714,0.37192118226600984,0.5320197044334976,0.47634069400630913,0.579,13,6,695,26,0.0011807395726623976
Preprocessor1_Model01,0.8035714285714286,0.373134328358209,0.5261194029850746,0.47318611987381703,0.581,14,7,622,23,0.002778343602344511
Preprocessor1_Model13,0.7107142857142857,0.36553524804177545,0.5287206266318538,0.4416403785488959,0.58,16,8,666,25,0.005076691477695975
Preprocessor1_Model14,0.7071428571428572,0.3656716417910448,0.527363184079602,0.4637223974763407,0.575,12,5,675,24,0.0034528093107937825
Preprocessor1_Model11,0.5821428571428571,0.3523573200992556,0.5062034739454094,0.4479495268138801,0.564,15,7,790,26,0.0020326810312669787
Preprocessor1_Model06,0.45714285714285713,0.3377659574468085,0.49601063829787234,0.40063091482649843,0.561,16,7,457,28,4.8629507036833695e-4
Preprocessor1_Model10,0.4428571428571429,0.3225806451612903,0.49627791563275436,0.41009463722397477,0.54,14,6,537,24,1.1707625725530025e-4
Preprocessor1_Model08,0.3107142857142857,0.3161764705882353,0.49019607843137253,0.4069400630914827,0.533,13,9,416,28,1.886497082370139e-4
Preprocessor1_Model03,0.3107142857142857,0.3177083333333333,0.4752604166666667,0.38485804416403785,0.543,15,7,769,29,7.512242862893817e-4
Preprocessor1_Model15,0.25357142857142856,0.31362467866323906,0.4794344473007712,0.38485804416403785,0.538,14,6,578,31,3.2820292846496413e-4
Preprocessor1_Model05,0.13214285714285712,0.2926829268292683,0.45663956639566394,0.34069400630914826,0.53,17,9,504,30,4.4229874243074626e-4
Preprocessor1_Model09,0.04285714285714285,0.2826086956521739,0.4553140096618358,0.36908517350157727,0.503,15,7,438,28,1.4348392315758385e-4
Preprocessor1_Model02,0.039285714285714285,0.2826666666666667,0.4533333333333333,0.334384858044164,0.52,14,8,531,25,9.008821600463695e-4
