.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model22,0.959090909090909,0.5168539325842697,0.6048689138576779,0.6301369863013698,0.45598591549295775,0.006253008243210137,14,8,423,23
Preprocessor1_Model01,0.8727272727272728,0.4965034965034965,0.5804195804195804,0.6484018264840182,0.4595070422535211,1.2632310970353103e-4,12,5,410,25
Preprocessor1_Model03,0.8590909090909091,0.5112781954887218,0.5977443609022557,0.6210045662100456,0.4454225352112676,0.0025585505269220747,16,6,585,28
Preprocessor1_Model06,0.8340909090909091,0.5092936802973977,0.5947955390334573,0.6255707762557078,0.44366197183098594,0.0034225873512277465,13,5,486,29
Preprocessor1_Model02,0.8295454545454545,0.5074626865671642,0.5932835820895522,0.6210045662100456,0.45422535211267606,0.0051690485445900275,13,5,594,24
Preprocessor1_Model08,0.7136363636363636,0.49640287769784175,0.5755395683453237,0.6301369863013698,0.44190140845070425,0.0017455147443071312,13,5,682,23
Preprocessor1_Model09,0.7113636363636364,0.48936170212765956,0.5797872340425532,0.6301369863013698,0.4507042253521127,3.4132248473715327e-4,12,6,648,27
Preprocessor1_Model16,0.6954545454545454,0.49466192170818507,0.5747330960854092,0.634703196347032,0.43661971830985913,0.0024424843306875554,13,7,442,25
Preprocessor1_Model05,0.6363636363636364,0.49280575539568344,0.5719424460431655,0.6255707762557078,0.44190140845070425,0.001286011345009317,14,7,616,26
Preprocessor1_Model11,0.6181818181818182,0.4828767123287671,0.5633561643835616,0.6438356164383562,0.4454225352112676,3.2123730696317606e-4,15,6,672,26
Preprocessor1_Model21,0.5840909090909091,0.4846153846153846,0.5769230769230769,0.5753424657534246,0.4524647887323944,0.0070637808547911645,15,7,784,24
Preprocessor1_Model17,0.475,0.47876447876447875,0.5656370656370656,0.5662100456621004,0.448943661971831,0.008482286372040257,16,6,745,25
Preprocessor1_Model20,0.4431818181818182,0.47202797202797203,0.5594405594405595,0.6164383561643836,0.44190140845070425,4.263967129753172e-4,16,6,729,28
Preprocessor1_Model13,0.4272727272727273,0.4746376811594203,0.5615942028985508,0.5981735159817352,0.4225352112676056,0.004412470972378257,14,6,769,19
Preprocessor1_Model14,0.36363636363636365,0.47058823529411764,0.5496323529411765,0.5844748858447488,0.43309859154929575,1.147356680466295e-4,13,6,554,18
Preprocessor1_Model07,0.30681818181818177,0.46236559139784944,0.5483870967741935,0.589041095890411,0.43133802816901406,1.5211232540741077e-4,15,7,456,19
Preprocessor1_Model15,0.2636363636363636,0.46441947565543074,0.548689138576779,0.5662100456621004,0.4242957746478873,2.153553374404883e-4,17,7,524,18
Preprocessor1_Model10,0.22954545454545455,0.45907473309608543,0.5409252669039146,0.589041095890411,0.4154929577464789,0.001031936037105604,14,8,697,21
Preprocessor1_Model12,0.20454545454545453,0.4584837545126354,0.5451263537906137,0.5799086757990868,0.4242957746478873,0.001366139561750898,17,7,759,20
Preprocessor1_Model18,0.12499999999999999,0.45357142857142857,0.5339285714285714,0.5799086757990868,0.4102112676056338,7.580710784915818e-4,14,6,632,22
Preprocessor1_Model23,0.11136363636363636,0.4507042253521127,0.5404929577464789,0.5844748858447488,0.397887323943662,2.660351748652692e-4,16,8,495,21
Preprocessor1_Model19,0.09318181818181819,0.44876325088339225,0.5424028268551236,0.5799086757990868,0.3996478873239437,5.239234166213692e-4,15,7,511,21
Preprocessor1_Model04,0.02727272727272727,0.4452296819787986,0.5282685512367491,0.5753424657534246,0.4014084507042254,6.717368291978146e-4,16,8,573,17
