.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model07,0.9,0.4564459930313589,0.5662020905923345,0.5720524017467249,0.3782696177062374,0.009012520060173768,13,8,509,29
Preprocessor1_Model08,0.8272727272727274,0.44039735099337746,0.5562913907284768,0.5807860262008734,0.3762575452716298,0.007557090884330073,12,5,790,22
Preprocessor1_Model12,0.8272727272727273,0.43870967741935485,0.55,0.5938864628820961,0.39235412474849096,0.0031472202103763735,14,7,773,21
Preprocessor1_Model16,0.8227272727272728,0.44966442953020136,0.5503355704697986,0.5851528384279476,0.3702213279678068,1.3577917665434663e-4,16,7,637,18
Preprocessor1_Model03,0.8045454545454545,0.4329268292682927,0.5533536585365854,0.6200873362445415,0.3843058350100604,0.0018381417034612241,14,6,753,18
Preprocessor1_Model01,0.7681818181818183,0.4368932038834951,0.5485436893203883,0.5895196506550219,0.3903420523138833,0.004903565787394489,13,7,498,21
Preprocessor1_Model18,0.7318181818181818,0.44329896907216493,0.5532646048109966,0.5633187772925764,0.3702213279678068,0.006273773240374574,14,6,614,28
Preprocessor1_Model22,0.7272727272727274,0.44745762711864406,0.5406779661016949,0.5764192139737991,0.3762575452716298,3.234864321375582e-4,14,8,602,19
Preprocessor1_Model23,0.6454545454545454,0.44947735191637633,0.5400696864111498,0.5633187772925764,0.36217303822937624,2.019427223645775e-4,13,8,561,23
Preprocessor1_Model21,0.55,0.42996742671009774,0.5390879478827362,0.5764192139737991,0.3702213279678068,9.800265093749404e-4,15,7,444,20
Preprocessor1_Model05,0.5090909090909091,0.4295774647887324,0.5475352112676056,0.5327510917030568,0.3782696177062374,0.0028612251329711916,15,5,587,25
Preprocessor1_Model04,0.4681818181818182,0.43859649122807015,0.5333333333333333,0.5458515283842795,0.358148893360161,3.8095529652311584e-4,17,7,720,28
Preprocessor1_Model06,0.40909090909090906,0.4201954397394137,0.5342019543973942,0.5633187772925764,0.3641851106639839,0.0014114621545949606,15,5,471,19
Preprocessor1_Model10,0.38636363636363635,0.42333333333333334,0.5316666666666666,0.5545851528384279,0.36016096579476864,0.0022949989714428913,16,6,405,17
Preprocessor1_Model15,0.37727272727272726,0.4186046511627907,0.5415282392026578,0.5502183406113537,0.35412474849094566,0.0038249815633421267,15,8,678,25
Preprocessor1_Model19,0.35000000000000003,0.4392857142857143,0.5178571428571429,0.537117903930131,0.35412474849094566,1.5290347467716663e-4,13,6,746,24
Preprocessor1_Model13,0.2681818181818182,0.42907801418439717,0.5230496453900709,0.5283842794759825,0.3501006036217304,1.0981156140079142e-4,17,6,432,27
Preprocessor1_Model17,0.2318181818181818,0.43309859154929575,0.5140845070422535,0.537117903930131,0.34808853118712274,2.4324676899576742e-4,14,6,527,22
Preprocessor1_Model20,0.19090909090909092,0.422680412371134,0.520618556701031,0.537117903930131,0.34808853118712274,7.187271099804614e-4,12,6,458,27
Preprocessor1_Model09,0.18181818181818182,0.4232081911262799,0.5170648464163823,0.5414847161572053,0.3440643863179074,5.678891564584674e-4,16,7,661,26
Preprocessor1_Model11,0.18181818181818182,0.41776315789473684,0.5197368421052632,0.5545851528384279,0.3440643863179074,8.753471502314504e-4,16,5,546,21
Preprocessor1_Model14,0.12272727272727271,0.4160839160839161,0.5209790209790209,0.519650655021834,0.34808853118712274,0.0011743613259055771,13,7,678,26
Preprocessor1_Model02,0.02727272727272727,0.41414141414141414,0.5134680134680135,0.537117903930131,0.33601609657947684,4.7796031360956457e-4,17,6,712,24
