.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model22,0.9272727272727274,0.4608695652173913,0.5608695652173913,0.5988700564971752,0.48893360160965793,0.0026863851334242273,16,6,786,25
Preprocessor1_Model11,0.8363636363636364,0.4579831932773109,0.5315126050420168,0.615819209039548,0.4426559356136821,9.400356327674888e-4,16,6,708,18
Preprocessor1_Model20,0.8318181818181818,0.44398340248962653,0.5352697095435685,0.6045197740112994,0.4647887323943662,0.005877160341251283,15,6,402,20
Preprocessor1_Model09,0.7681818181818183,0.43824701195219123,0.5199203187250996,0.6214689265536724,0.4386317907444668,1.1341090261858435e-4,14,7,780,25
Preprocessor1_Model01,0.7454545454545455,0.4349593495934959,0.5304878048780488,0.6045197740112994,0.4507042253521127,0.0020765183893837313,13,7,758,28
Preprocessor1_Model05,0.7227272727272728,0.4469026548672566,0.5398230088495575,0.5706214689265536,0.4346076458752515,2.4918582019398697e-4,16,8,494,21
Preprocessor1_Model08,0.7227272727272727,0.42911877394636017,0.5114942528735632,0.632768361581921,0.44466800804828976,0.0013663497592349434,12,6,746,22
Preprocessor1_Model10,0.6727272727272727,0.423728813559322,0.5190677966101694,0.5649717514124294,0.4708249496981891,0.0052819997237545345,14,7,631,24
Preprocessor1_Model04,0.6181818181818182,0.4369747899159664,0.5084033613445378,0.5875706214689266,0.43661971830985913,4.5676841222385697e-4,14,5,682,26
Preprocessor1_Model07,0.5136363636363637,0.4132841328413284,0.4981549815498155,0.632768361581921,0.43661971830985913,0.0017834831225599288,14,7,544,21
Preprocessor1_Model23,0.5045454545454546,0.4052044609665427,0.5018587360594795,0.615819209039548,0.4647887323943662,0.00379405607833331,15,7,537,18
Preprocessor1_Model21,0.48636363636363633,0.41452991452991456,0.5149572649572649,0.5480225988700564,0.4386317907444668,0.003288074383683273,13,7,568,27
Preprocessor1_Model14,0.4409090909090909,0.4196078431372549,0.49411764705882355,0.6045197740112994,0.4346076458752515,3.204751416558047e-4,12,8,447,27
Preprocessor1_Model13,0.4363636363636364,0.4149377593360996,0.5062240663900415,0.5649717514124294,0.42052313883299797,3.910925444199802e-4,16,7,520,20
Preprocessor1_Model02,0.4272727272727273,0.4083333333333333,0.50625,0.5536723163841808,0.4647887323943662,0.00715378626602363,12,8,480,24
Preprocessor1_Model06,0.32727272727272727,0.4188034188034188,0.49572649572649574,0.5536723163841808,0.41448692152917505,8.385182637468162e-4,17,7,675,29
Preprocessor1_Model17,0.30000000000000004,0.4050632911392405,0.4978902953586498,0.5423728813559322,0.4507042253521127,0.008526679521874983,17,6,722,23
Preprocessor1_Model18,0.2545454545454545,0.4139344262295082,0.4918032786885246,0.5706214689265536,0.40643863179074446,6.855412169345934e-4,15,6,624,28
Preprocessor1_Model12,0.2409090909090909,0.41201716738197425,0.4978540772532189,0.5423728813559322,0.41851106639839036,2.0613741580720118e-4,15,5,431,19
Preprocessor1_Model16,0.21818181818181817,0.4089068825910931,0.4817813765182186,0.5706214689265536,0.41851106639839036,0.0012022548838809266,13,6,659,23
Preprocessor1_Model19,0.19090909090909092,0.41228070175438597,0.4956140350877193,0.5310734463276836,0.4124748490945674,1.5330702212073562e-4,13,5,594,17
Preprocessor1_Model03,0.12272727272727274,0.4024390243902439,0.48577235772357724,0.559322033898305,0.4124748490945674,5.922863430213371e-4,16,5,590,25
Preprocessor1_Model15,0.009090909090909092,0.391304347826087,0.48043478260869565,0.5084745762711864,0.4104627766599598,1.385880523216937e-4,15,8,467,20
