.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_acc,learn_rate,mtry,tree_depth,trees,min_n
Preprocessor1_Model04,0.9454545454545455,0.5203252032520326,0.5934959349593496,0.6632124352331606,0.47484909456740443,0.006698113031562458,14,8,609,28
Preprocessor1_Model22,0.8545454545454546,0.5,0.59375,0.6632124352331606,0.4647887323943662,0.004890930315069673,16,6,590,27
Preprocessor1_Model07,0.8545454545454545,0.5020408163265306,0.5816326530612245,0.6373056994818653,0.4708249496981891,0.0027527386907254025,12,6,474,28
Preprocessor1_Model06,0.8090909090909091,0.5021645021645021,0.577922077922078,0.6010362694300518,0.4788732394366197,0.009916693934064672,13,7,453,21
Preprocessor1_Model08,0.7318181818181818,0.5,0.5969827586206896,0.6010362694300518,0.43259557344064387,4.527214821452281e-4,17,7,639,26
Preprocessor1_Model19,0.6727272727272728,0.48945147679324896,0.5907172995780591,0.6010362694300518,0.44064386317907445,6.580277494575925e-4,15,9,523,29
Preprocessor1_Model23,0.6636363636363636,0.47580645161290325,0.5806451612903226,0.6113989637305699,0.448692152917505,1.0255912430702059e-4,13,8,670,23
Preprocessor1_Model12,0.6454545454545454,0.49344978165938863,0.5786026200873362,0.5854922279792746,0.44668008048289737,0.001108304415576513,16,6,508,26
Preprocessor1_Model15,0.6318181818181818,0.49130434782608695,0.5695652173913044,0.5854922279792746,0.47283702213279677,0.004339128228793503,15,7,738,21
Preprocessor1_Model03,0.5954545454545455,0.5,0.5787037037037037,0.5595854922279793,0.43661971830985913,8.243583326081814e-4,13,7,783,27
Preprocessor1_Model14,0.5818181818181818,0.4788135593220339,0.565677966101695,0.5854922279792746,0.4768611670020121,0.0069893076259019155,16,7,566,20
Preprocessor1_Model13,0.4954545454545454,0.4721030042918455,0.5600858369098712,0.5699481865284974,0.4708249496981891,0.003443019087418318,14,9,756,18
Preprocessor1_Model02,0.4727272727272727,0.4953271028037383,0.5747663551401869,0.5492227979274611,0.42857142857142855,0.0014890638959984305,14,8,427,25
Preprocessor1_Model17,0.42727272727272725,0.48847926267281105,0.5783410138248848,0.5492227979274611,0.4124748490945674,9.659951825814935e-4,17,6,543,24
Preprocessor1_Model05,0.4045454545454546,0.4841628959276018,0.5588235294117647,0.5544041450777202,0.4386317907444668,0.001807382831349536,13,8,447,25
Preprocessor1_Model20,0.34090909090909094,0.4675324675324675,0.5497835497835498,0.5595854922279793,0.44064386317907445,0.002070950434357792,16,8,607,20
Preprocessor1_Model18,0.2590909090909091,0.44680851063829785,0.5425531914893617,0.5440414507772021,0.44668008048289737,1.286750927310251e-4,12,7,494,17
Preprocessor1_Model21,0.2318181818181818,0.4462809917355372,0.5475206611570248,0.5595854922279793,0.42655935613682094,1.8249755229438522e-4,13,8,730,22
Preprocessor1_Model09,0.20909090909090908,0.4393305439330544,0.5355648535564853,0.5440414507772021,0.44466800804828976,2.6116404485740255e-4,15,8,654,18
Preprocessor1_Model11,0.18636363636363634,0.4517543859649123,0.5526315789473685,0.533678756476684,0.3903420523138833,2.8798363502048656e-4,15,9,780,23
Preprocessor1_Model01,0.12272727272727274,0.42857142857142855,0.5224489795918368,0.5440414507772021,0.4346076458752515,1.5427828208727144e-4,14,9,692,19
Preprocessor1_Model10,0.09545454545454546,0.4251968503937008,0.5216535433070866,0.5595854922279793,0.40643863179074446,3.527629140661065e-4,14,7,403,22
Preprocessor1_Model16,0.03636363636363636,0.43162393162393164,0.5192307692307693,0.5233160621761658,0.40643863179074446,5.117522408161425e-4,15,8,700,19
