.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model02,0.9392857142857142,0.5449101796407185,0.7035928143712575,0.44717444717444715,0.6409523809523809,12,9,610,24,0.005024906693657905
Preprocessor1_Model04,0.8928571428571428,0.5406824146981627,0.6889763779527559,0.5061425061425061,0.6419047619047619,15,5,644,27,0.002284268006122704
Preprocessor1_Model13,0.8785714285714286,0.5268542199488491,0.690537084398977,0.5061425061425061,0.6323809523809524,14,8,670,31,0.0011246110622379205
Preprocessor1_Model07,0.7464285714285713,0.5222551928783383,0.6899109792284867,0.43243243243243246,0.6266666666666667,16,6,574,27,0.0012747106284264427
Preprocessor1_Model05,0.7035714285714286,0.5212464589235127,0.6770538243626062,0.4520884520884521,0.6266666666666667,13,7,426,29,6.161536735809279e-4
Preprocessor1_Model10,0.6642857142857143,0.5171428571428571,0.6842857142857143,0.44471744471744473,0.6238095238095238,14,9,718,26,0.0030986086370224427
Preprocessor1_Model11,0.5499999999999999,0.5015384615384615,0.6661538461538462,0.4004914004914005,0.6133333333333333,17,6,540,29,4.2929797025281774e-4
Preprocessor1_Model15,0.5321428571428571,0.5,0.6433649289099526,0.5184275184275184,0.6123809523809524,12,7,474,30,0.0017482655181956406
Preprocessor1_Model01,0.4714285714285714,0.4823848238482385,0.6504065040650406,0.43734643734643736,0.6,14,7,727,25,8.526547114562886e-4
Preprocessor1_Model06,0.3357142857142857,0.4759036144578313,0.6370481927710844,0.3882063882063882,0.5971428571428572,16,8,516,28,1.1367779195839759e-4
Preprocessor1_Model14,0.2785714285714286,0.4604105571847507,0.6466275659824047,0.3857493857493858,0.5866666666666667,17,8,775,28,0.006256308424040363
Preprocessor1_Model12,0.24285714285714283,0.46107784431137727,0.6332335329341318,0.3783783783783784,0.5876190476190476,15,6,489,30,0.00927409217654971
Preprocessor1_Model09,0.15357142857142855,0.4460227272727273,0.6164772727272727,0.3857493857493858,0.5761904761904761,13,8,639,25,2.4727438880218464e-4
Preprocessor1_Model08,0.07142857142857142,0.4318840579710145,0.6028985507246377,0.36609336609336607,0.5676190476190476,15,7,767,24,1.3764035269779647e-4
Preprocessor1_Model03,0,0.4024024024024024,0.5990990990990991,0.32923832923832924,0.5504761904761905,14,5,443,23,2.837532764860872e-4
