.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model14,0.9249999999999999,0.2908496732026144,0.4852941176470588,0.332089552238806,0.6228571428571429,14,8,578,30,0.0035150701297436996
Preprocessor1_Model01,0.8428571428571429,0.2740112994350282,0.481638418079096,0.3619402985074627,0.5923809523809523,12,8,416,27,0.0012899788508995357
Preprocessor1_Model07,0.7785714285714287,0.2753623188405797,0.4492753623188406,0.35447761194029853,0.5971428571428572,14,5,488,30,0.0016856636224225042
Preprocessor1_Model04,0.7642857142857142,0.26944444444444443,0.475,0.3619402985074627,0.5866666666666667,13,9,602,28,8.217977526551267e-4
Preprocessor1_Model08,0.6642857142857143,0.26099706744868034,0.4560117302052786,0.332089552238806,0.5895238095238096,13,8,558,26,0.00944869038525726
Preprocessor1_Model03,0.6214285714285714,0.26005361930294907,0.45576407506702415,0.3619402985074627,0.5742857142857143,15,9,752,29,9.578956010160579e-4
Preprocessor1_Model02,0.5357142857142857,0.25474254742547425,0.4715447154471545,0.35074626865671643,0.5723809523809524,13,7,731,28,2.7613070986734077e-4
Preprocessor1_Model05,0.48571428571428565,0.25617283950617287,0.42901234567901236,0.30970149253731344,0.5942857142857143,16,7,631,24,0.00407880539267038
Preprocessor1_Model13,0.4071428571428571,0.24262295081967214,0.4262295081967213,0.27611940298507465,0.5952380952380952,12,6,526,24,0.007328231286441576
Preprocessor1_Model10,0.37499999999999994,0.23979591836734693,0.4502551020408163,0.35074626865671643,0.5504761904761905,16,7,646,26,4.093177463443109e-4
Preprocessor1_Model06,0.35,0.2391304347826087,0.43788819875776397,0.2873134328358209,0.5847619047619048,15,5,684,29,1.1318307776255417e-4
Preprocessor1_Model11,0.2857142857142857,0.23214285714285715,0.44047619047619047,0.291044776119403,0.5733333333333334,14,6,780,25,5.689289328521356e-4
Preprocessor1_Model15,0.24999999999999994,0.23333333333333334,0.4361111111111111,0.31343283582089554,0.5619047619047619,15,8,434,25,1.454726116694538e-4
Preprocessor1_Model12,0.10357142857142856,0.22392638036809817,0.40797546012269936,0.27238805970149255,0.5733333333333334,17,6,720,23,0.002751394930973999
Preprocessor1_Model09,0.039285714285714285,0.1892744479495268,0.41324921135646686,0.22388059701492538,0.5571428571428572,17,6,463,31,2.101251301512363e-4
