.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model12,0.9821428571428571,0.44089456869009586,0.6054313099041534,0.4144144144144144,0.6476190476190476,12,9,574,25,0.009816539719869498
Preprocessor1_Model11,0.8714285714285714,0.4131147540983607,0.5819672131147541,0.3783783783783784,0.6323809523809524,15,5,705,24,0.0037308237353177983
Preprocessor1_Model05,0.7821428571428571,0.40924092409240925,0.5643564356435643,0.37237237237237236,0.6304761904761905,15,7,799,28,0.004058669836059099
Preprocessor1_Model15,0.7464285714285714,0.413953488372093,0.5627906976744186,0.2672672672672673,0.6476190476190476,13,8,625,30,9.94666184989544e-4
Preprocessor1_Model08,0.7071428571428571,0.40239043824701193,0.5537848605577689,0.3033033033033033,0.6361904761904762,16,8,535,23,0.0029281912770929537
Preprocessor1_Model14,0.6071428571428571,0.392,0.552,0.29429429429429427,0.6314285714285715,16,6,496,27,0.001521990370918012
Preprocessor1_Model02,0.5714285714285714,0.37992831541218636,0.546594982078853,0.3183183183183183,0.6190476190476191,14,5,400,29,3.6092406852158027e-4
Preprocessor1_Model09,0.5642857142857143,0.36807817589576547,0.5488599348534202,0.33933933933933935,0.6057142857142858,14,6,525,26,0.0054786397558034125
Preprocessor1_Model13,0.4607142857142857,0.3586206896551724,0.5379310344827586,0.3123123123123123,0.6047619047619047,14,6,595,24,0.001945901542328794
Preprocessor1_Model03,0.33928571428571425,0.3422818791946309,0.5016778523489933,0.3063063063063063,0.5933333333333334,16,7,745,28,2.6506360824810304e-4
Preprocessor1_Model07,0.33571428571428574,0.35051546391752575,0.49312714776632305,0.3063063063063063,0.6,13,8,429,31,1.9472597930731176e-4
Preprocessor1_Model10,0.19642857142857142,0.3367003367003367,0.4898989898989899,0.3003003003003003,0.5904761904761905,16,9,648,30,1.1256806054378408e-4
Preprocessor1_Model01,0.1571428571428571,0.3254237288135593,0.4966101694915254,0.2882882882882883,0.5847619047619048,17,6,767,26,7.242819565824705e-4
Preprocessor1_Model06,0.12142857142857141,0.3310104529616725,0.48606271777003485,0.2852852852852853,0.5904761904761905,13,7,675,26,1.361920970192964e-4
Preprocessor1_Model04,0.010714285714285713,0.31864406779661014,0.47796610169491527,0.2822822822822823,0.580952380952381,15,8,460,29,5.292312804766904e-4
