.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model14,0.9892857142857143,0.40716612377850164,0.5667752442996743,0.38580246913580246,0.6371428571428571,15,8,717,24,0.0052277362661254856
Preprocessor1_Model03,0.9392857142857144,0.37900874635568516,0.5451895043731778,0.4012345679012346,0.6123809523809524,15,9,624,30,0.008953894385622392
Preprocessor1_Model10,0.8392857142857142,0.3628048780487805,0.5213414634146342,0.36728395061728397,0.6057142857142858,14,5,770,28,0.0038479444085111926
Preprocessor1_Model12,0.7928571428571428,0.3619047619047619,0.5174603174603175,0.35185185185185186,0.6085714285714285,17,6,449,29,0.006613209418577896
Preprocessor1_Model02,0.7035714285714285,0.3333333333333333,0.4882005899705015,0.3487654320987654,0.5838095238095238,14,6,786,25,7.901905274428638e-4
Preprocessor1_Model09,0.6107142857142858,0.32298136645962733,0.4860248447204969,0.32098765432098764,0.5828571428571429,12,7,557,23,0.0012161935054013145
Preprocessor1_Model13,0.5321428571428571,0.3050397877984085,0.47877984084880637,0.3549382716049383,0.5514285714285714,16,7,500,26,4.8594202540718406e-4
Preprocessor1_Model07,0.4714285714285714,0.30498533724340177,0.4706744868035191,0.32098765432098764,0.5647619047619048,16,8,607,27,0.0010782901547534529
Preprocessor1_Model04,0.3928571428571428,0.3047337278106509,0.4630177514792899,0.31790123456790126,0.5657142857142857,12,6,648,27,0.002367948006161958
Preprocessor1_Model11,0.38928571428571423,0.3018292682926829,0.4679878048780488,0.3055555555555556,0.5676190476190476,13,7,745,30,0.0016045509831588477
Preprocessor1_Model06,0.35,0.29295774647887324,0.46901408450704224,0.32098765432098764,0.5514285714285714,16,5,567,24,1.7536430215348201e-4
Preprocessor1_Model08,0.22499999999999998,0.2785515320334262,0.44846796657381616,0.30864197530864196,0.54,13,8,687,25,1.1520552927527911e-4
Preprocessor1_Model01,0.14285714285714285,0.268361581920904,0.4463276836158192,0.2932098765432099,0.5352380952380953,13,8,474,29,3.711842552202921e-4
Preprocessor1_Model05,0.07142857142857142,0.2655367231638418,0.4194915254237288,0.29012345679012347,0.5333333333333333,14,9,423,31,2.960396145782383e-4
Preprocessor1_Model15,0,0.2365038560411311,0.4023136246786632,0.2839506172839506,0.4961904761904762,15,6,507,27,2.077217377601907e-4
