.config,avg_rank,mean_preci,mean_soft_preci,mean_recall,mean_soft_acc,mtry,tree_depth,trees,min_n,learn_rate
Preprocessor1_Model11,0.9142857142857143,0.5222672064777328,0.6477732793522267,0.3467741935483871,0.6561904761904762,16,6,635,30,0.0014607408353705929
Preprocessor1_Model14,0.8392857142857143,0.5052631578947369,0.6543859649122807,0.3870967741935484,0.6485714285714286,15,7,644,28,0.001947508881429209
Preprocessor1_Model09,0.8,0.5142857142857142,0.6469387755102041,0.3387096774193548,0.6523809523809524,14,8,788,30,0.005822659167474797
Preprocessor1_Model02,0.7928571428571429,0.5125,0.6583333333333333,0.33064516129032256,0.6514285714285715,12,8,486,31,0.005232373005958776
Preprocessor1_Model06,0.7035714285714286,0.4979919678714859,0.6546184738955824,0.3333333333333333,0.6447619047619048,13,9,548,29,0.008018469587255255
Preprocessor1_Model01,0.6535714285714286,0.4904214559386973,0.6398467432950191,0.34408602150537637,0.6409523809523809,16,7,741,27,0.002503899072916165
Preprocessor1_Model04,0.5607142857142856,0.4483985765124555,0.6298932384341637,0.3387096774193548,0.6180952380952381,12,7,417,29,1.1583867346791318e-4
Preprocessor1_Model15,0.45714285714285713,0.44014084507042256,0.625,0.33602150537634407,0.6133333333333333,15,5,678,26,1.692581367551705e-4
Preprocessor1_Model12,0.425,0.42857142857142855,0.625,0.3548387096774194,0.6038095238095238,14,7,428,23,4.5834081667771683e-4
Preprocessor1_Model05,0.35714285714285715,0.43356643356643354,0.6153846153846154,0.3333333333333333,0.6095238095238096,15,8,457,26,2.0835250887197367e-4
Preprocessor1_Model10,0.3,0.4219269102990033,0.606312292358804,0.34139784946236557,0.6009523809523809,17,9,602,24,5.45227415620407e-4
Preprocessor1_Model03,0.25,0.4155844155844156,0.5974025974025974,0.34408602150537637,0.5961904761904762,14,6,717,24,8.400632750827063e-4
Preprocessor1_Model07,0.23928571428571427,0.4306569343065693,0.5912408759124088,0.3172043010752688,0.6095238095238096,13,6,561,25,0.00303316835210383
Preprocessor1_Model13,0.11428571428571427,0.40064102564102566,0.5881410256410257,0.33602150537634407,0.5866666666666667,16,6,750,28,2.644063080354177e-4
Preprocessor1_Model08,0.010714285714285713,0.39144736842105265,0.5805921052631579,0.31989247311827956,0.5828571428571429,13,5,529,25,9.914302418065721e-4
