Variable,Importance
roll_sd_ret11d_1Y,0.1478882620358794
roll_sd_ret5M_1Y,0.1109918469185387
roll_sd_ret1d_7M,0.10323378648467531
above_sd_sma200,0.09716102469509962
roll_sd_ret3M_1Y,0.08485409116457779
above_sd_sma100,0.06951632941557677
roll_sd_ret11d_5M,0.06543310943662368
roll_sd_ret7M_1Y,0.06010605488761098
above_sd_sma50,0.055621989906858314
roll_sd_ret21d_1Y,0.04467817351781264
ret_5M,0.04064733390229434
ret_3M,0.038107593075629234
ret_7M,0.03143808169054657
above_sd_ret11d_1Y,0.017984531025361673
ret_11d,0.014784060302576835
above_sd_ret21d_1Y,0.005077930376578777
ret_21d,0.004495812240991268
above_sd_ret5d_3M,0.0039777629752374925
above_sd_ret5d_7M,0.0019942456254867327
ret_5d,0.0017506097851378145
above_sd_ret1d_3M,2.5737053690607053e-4
