Variable,Importance
above_sd_sma100,0.12296858930382569
roll_sd_ret3M_1Y,0.09326437050899063
roll_sd_ret1d_7M,0.0928782529469235
above_sd_sma200,0.09061024357442202
roll_sd_ret7M_1Y,0.08598998152934974
roll_sd_ret11d_5M,0.08289756135467732
above_sd_sma50,0.08244506673910193
roll_sd_ret5M_1Y,0.07996032312844917
roll_sd_ret11d_1Y,0.06309113593768492
ret_5M,0.04548997359628364
ret_3M,0.044372002721049214
ret_7M,0.03650235485230343
roll_sd_ret21d_1Y,0.02189557251043314
above_sd_ret11d_1Y,0.0171316311924337
ret_11d,0.016781031689541936
ret_21d,0.0057249593371671015
ret_5d,0.005721125111994734
above_sd_ret21d_1Y,0.0050925062098970625
above_sd_ret5d_7M,0.0038419265188287264
above_sd_ret5d_3M,0.0030687127352188918
above_sd_ret1d_3M,2.726785014235081e-4
