Variable,Importance
roll_sd_ret11d_1Y,0.10457905250225454
roll_sd_ret7M_1Y,0.09234286816761184
above_sd_sma200,0.0898655959256292
roll_sd_ret3M_1Y,0.08532924486007262
roll_sd_ret1d_7M,0.08500039028937668
ret_5M,0.0828937851578258
above_sd_sma100,0.08070852048348902
roll_sd_ret5M_1Y,0.07758898668068066
above_sd_sma50,0.07613432930754518
roll_sd_ret11d_5M,0.049060213274934115
roll_sd_ret21d_1Y,0.039799432939217824
ret_3M,0.03550244454928082
ret_7M,0.02873165639198868
ret_11d,0.026515028911797498
above_sd_ret11d_1Y,0.015668956775480893
ret_21d,0.011111321072963051
above_sd_ret5d_3M,0.0067851941655226655
above_sd_ret21d_1Y,0.0057846036625608345
above_sd_ret5d_7M,0.0038954171906101006
ret_5d,0.0024504855522999138
above_sd_ret1d_3M,2.524721388580407e-4
