Variable,Importance
above_sd_sma100,0.128777789203011
above_sd_sma200,0.09887567196783177
roll_sd_ret3M_1Y,0.09315547219272438
roll_sd_ret11d_1Y,0.0919868043161903
roll_sd_ret7M_1Y,0.09197392146156266
roll_sd_ret5M_1Y,0.09033285935137997
roll_sd_ret1d_7M,0.08615840854531051
ret_7M,0.06332836651827575
roll_sd_ret11d_5M,0.0599544699122546
above_sd_sma50,0.05414442736956221
ret_5M,0.03206787309791821
roll_sd_ret21d_1Y,0.0309488601019327
ret_3M,0.0264787312336544
above_sd_ret11d_1Y,0.01683610344760536
ret_11d,0.016529915523865586
ret_21d,0.007020869295594875
above_sd_ret21d_1Y,0.0053986135459984765
ret_5d,0.00260239517902098
above_sd_ret5d_7M,0.0015852063215630611
above_sd_ret5d_3M,0.001310764693668877
above_sd_ret1d_3M,5.324767210743245e-4
