Variable,Importance
roll_sd_ret21d_1Y,0.18656843918982244
corr_ema20_sma50_1Y,0.14715696111538157
corr_sma50_sma200_199d,0.12934113063390998
volat_volu200_251days,0.12621333111484176
volat_ret1d_63days,0.0972037428821527
roll_sd_intra_day_3M,0.08554534013087822
ma_cross_l,0.07825407481881153
volat_volu200_31days,0.07037192999789083
above_sd_ret21d_1Y,0.05019771512857218
above_sd_ret5d_3M,0.012343475822786191
above_sd_ret5d_7M,0.007641988103051033
above_sd_intraday_1Y,0.0068913446032214795
above_sd_ret1d_3M,0.002270526458680107
