Variable,Importance
roll_sd_ret21d_1Y,0.16751088789517596
volat_volu200_251days,0.1558631510119389
volat_ret1d_63days,0.15298530145611874
ma_cross_l,0.1339591624431081
corr_ema20_sma50_1Y,0.09501599005091174
corr_sma50_sma200_199d,0.09101729136854471
roll_sd_intra_day_3M,0.07205452684591689
above_sd_ret21d_1Y,0.062386029112077086
volat_volu200_31days,0.05532496634743668
above_sd_ret5d_7M,0.007889102679995524
above_sd_ret5d_3M,0.003239419969355953
above_sd_intraday_1Y,0.002271232010714102
above_sd_ret1d_3M,4.829388087056175e-4
