Variable,Importance
roll_sd_ret21d_1Y,0.23168374476987247
corr_sma50_sma200_199d,0.14563431821347234
volat_ret1d_63days,0.11948190511091168
ma_cross_l,0.11622602822128354
volat_volu200_251days,0.10166875862666269
corr_ema20_sma50_1Y,0.09732451989576454
above_sd_ret21d_1Y,0.0727421789212118
volat_volu200_31days,0.061875292612245066
roll_sd_intra_day_3M,0.04487818613623044
above_sd_ret5d_7M,0.004300526158097566
above_sd_ret5d_3M,0.002173900212338989
above_sd_intraday_1Y,0.0016017645265814155
above_sd_ret1d_3M,4.0887659532744307e-4
