Variable,Importance
roll_sd_ret21d_1Y,0.15689988687741907
volat_volu200_251days,0.1504721100574101
ma_cross_l,0.1292328772327324
corr_sma50_sma200_199d,0.11572304668896866
corr_ema20_sma50_1Y,0.11047160882051181
roll_sd_intra_day_3M,0.08682761761975877
volat_ret1d_63days,0.08379422639025258
volat_volu200_31days,0.07763199253251934
above_sd_ret21d_1Y,0.06979170396356063
above_sd_ret5d_7M,0.00887248123973121
above_sd_ret5d_3M,0.00559989220044425
above_sd_intraday_1Y,0.003830655323912674
above_sd_ret1d_3M,8.519010527785226e-4
