Variable,Importance
roll_sd_ret21d_1Y,0.19377719121907416
volat_volu200_251days,0.1688332599524045
corr_sma50_sma200_199d,0.16109066210509768
ma_cross_l,0.10816598401580957
corr_ema20_sma50_1Y,0.09641634857236743
volat_ret1d_63days,0.08994611613640703
roll_sd_intra_day_3M,0.08686794661400155
volat_volu200_31days,0.05608408450314342
above_sd_ret21d_1Y,0.028858250523251062
above_sd_ret5d_7M,0.006717004219413679
above_sd_ret5d_3M,0.002303803720448988
above_sd_intraday_1Y,9.263923674076662e-4
above_sd_ret1d_3M,1.2956051173294727e-5
