Variable,Importance
above_sd_sma100,0.1278706196511172
roll_sd_ret11d_1Y,0.125796563482177
above_sd_sma200,0.11012915612324785
volat_volu200_251days,0.09630506075534599
volat_ret1d_63days,0.0870218267948984
ma_cross_l,0.08319822948074147
roll_sd_intra_day_3M,0.07754906563668901
corr_ema20_sma50_1Y,0.07250097388930775
corr_sma50_sma200_199d,0.07023285222285575
above_sd_ret21d_1Y,0.05636504912826025
volat_volu200_31days,0.04892730323811458
roll_sd_ret21d_1Y,0.014822973370098719
above_sd_ret5d_7M,0.014787158916700698
above_sd_ret5d_3M,0.006804038144271454
above_sd_intraday_1Y,0.005936235124880329
above_sd_ret1d_3M,0.0017528940412935743
