Variable,Importance
corr_sma47_sma197_257d_rank,0.17504054307561429
roll_sd_ret1d_7M_rank,0.12660497813926833
ret3M_rank,0.12636658153686875
roll_sd_ret13d_1Y_rank,0.1233043971619451
ret5M_rank,0.11036626821058217
ratio_volSMA11_volSMA283_rank,0.10677162310014907
ret11M_rank,0.08887316328577352
roll_sd_ret1d_67d_rank,0.06379144524013418
ret2M_rank,0.026468825094627432
sd_sd_ret21d_1M_rank,0.025409974279810933
sd_abov_sma100_277d_rank,0.013978605397852065
sd_abov_sma200_277d_rank,0.010207156485516079
ratio_volSMA5_volSMA200_rank,0.0027993761946032785
sd_above_ret5d_199d_rank,1.7062797254840525e-5
