Variable,Importance
roll_sd_ret21d_1Y,0.14789098977829182
corr_sma50_sma200_1Y,0.12185321356757205
roll_sd_ret5d_7M,0.108358782874641
corr_ema20_sma50_199d,0.09307991225283214
roll_sd_volu200_251days,0.08662875213460686
corr_sma50_sma200_199d,0.08494329524694504
corr_ema20_sma50_1Y,0.07323367083346875
ma_cross_l,0.06915585186954773
roll_sd_ret1d_63days,0.050121526368157046
roll_sd_ret5d_3M,0.04908155965837367
roll_sd_volu200_31days,0.04587836606184951
roll_sd_intraday_3M,0.042816114859287366
above_sd_ret21d_1Y,0.025449236451195914
above_sd_ret5d_7M,0.0013011189553277553
above_sd_intraday_1Y,1.2295562053542855e-4
above_sd_ret5d_3M,8.465346736792856e-5
