Variable,Importance
roll_sd_volu200_251days,0.14117598622984942
roll_sd_ret1d_63days,0.10126543199249499
corr_ema20_sma50_1Y,0.0925019782580395
corr_sma50_sma200_199d,0.08665656675486735
roll_sd_ret21d_1Y,0.08103181262030215
corr_ema20_sma50_199d,0.07925412941621868
corr_sma50_sma200_1Y,0.07186767370502117
roll_sd_ret5d_7M,0.07067433755913859
ma_cross_l,0.06226922860675736
roll_sd_ret5d_3M,0.0580616831904325
roll_sd_intraday_3M,0.056370155647957346
roll_sd_volu200_31days,0.037982051429805014
above_sd_ret21d_1Y,0.036112118425627775
above_sd_ret5d_7M,0.010347054408823563
above_sd_ret5d_3M,0.008999707790981982
above_sd_intraday_1Y,0.005189972307908224
above_sd_ret1d_3M,2.4011165577440027e-4
