Variable,Importance
roll_sd_ret5d_7M,0.10384852183202961
corr_ema20_sma50_199d,0.0952518159918459
ma_cross_l,0.09246801650728301
roll_sd_intraday_3M,0.09142982590304631
corr_sma50_sma200_199d,0.08412721505243972
roll_sd_ret21d_1Y,0.0813976792082454
corr_sma50_sma200_1Y,0.07773667008482583
roll_sd_volu200_251days,0.07732870022569595
corr_ema20_sma50_1Y,0.07321558167770792
roll_sd_ret1d_63days,0.06121614155758899
roll_sd_ret5d_3M,0.05355388666572755
above_sd_ret21d_1Y,0.04466505689070626
roll_sd_volu200_31days,0.0445007917314692
above_sd_ret5d_7M,0.00919384088655387
above_sd_ret5d_3M,0.008165805009723139
above_sd_intraday_1Y,9.515797526112702e-4
above_sd_ret1d_3M,9.488710225000707e-4
