Variable,Importance
corr_sma50_sma200_1Y,0.12341439313179678
roll_sd_volu200_251days,0.11694840698022252
roll_sd_ret21d_1Y,0.11486464436043962
roll_sd_ret5d_7M,0.10694227230461699
corr_sma50_sma200_199d,0.06596280557169099
ma_cross_l,0.06487349454152355
corr_ema20_sma50_1Y,0.06328918970338492
corr_ema20_sma50_199d,0.06293941272728697
roll_sd_ret1d_63days,0.062412598613474375
roll_sd_ret5d_3M,0.06000819441719166
roll_sd_intraday_3M,0.05414626869009185
roll_sd_volu200_31days,0.0463593014201144
above_sd_ret21d_1Y,0.04235876937749895
above_sd_ret5d_7M,0.006259045462947645
above_sd_ret5d_3M,0.0045020963524205326
above_sd_intraday_1Y,0.0036388709142035013
above_sd_ret1d_3M,0.001080235431094756
