Variable,Importance
roll_sd_volu200_251days,0.1742645253511698
roll_sd_ret5d_7M,0.11934721970253014
roll_sd_ret21d_1Y,0.10337693695907557
corr_sma50_sma200_1Y,0.08779040431530734
corr_ema20_sma50_199d,0.0871466461749554
ma_cross_l,0.07562395412966905
corr_sma50_sma200_199d,0.07382621276596635
corr_ema20_sma50_1Y,0.05562883437028835
roll_sd_ret1d_63days,0.054373732948141115
roll_sd_volu200_31days,0.05351886828852745
roll_sd_ret5d_3M,0.044425505322487575
roll_sd_intraday_3M,0.04217140719003324
above_sd_ret21d_1Y,0.02693263322125632
above_sd_ret5d_7M,6.53391280744117e-4
above_sd_intraday_1Y,5.64075388166149e-4
above_sd_ret5d_3M,3.3342757833013277e-4
above_sd_ret1d_3M,2.222501335192347e-5
