Variable,Importance
roll_sd_ret21d_1Y,0.134027034136734
roll_sd_volu200_251days,0.1148903094351317
corr_ema20_sma50_199d,0.1017739899560015
corr_ema20_sma50_1Y,0.08940814816950196
corr_sma50_sma200_199d,0.0873026943010105
roll_sd_ret5d_7M,0.08560683973494165
ma_cross_l,0.0803261397377801
roll_sd_ret5d_3M,0.06614515294785676
roll_sd_intraday_3M,0.0599505687023507
roll_sd_ret1d_63days,0.05678797125097233
above_sd_ret21d_1Y,0.04502530578631354
roll_sd_volu200_31days,0.044145536449818265
above_sd_ret5d_7M,0.012828689564877692
above_sd_ret5d_3M,0.008046762359845677
above_sd_intraday_1Y,0.0066330011572113285
corr_sma50_sma200_1Y,0.004978616812720979
above_sd_ret1d_3M,0.0021232394969312772
