Variable,Importance
roll_sd_ret21d_1Y,0.1829133439320132
corr_sma50_sma200_1Y,0.09967123420639269
roll_sd_ret5d_7M,0.09630453539032537
corr_sma50_sma200_199d,0.091219575753591145
corr_ema20_sma50_199d,0.08472381480743059
ma_cross_l,0.07840578700140724
roll_sd_volu200_251days,0.0722158387117614
corr_ema20_sma50_1Y,0.05830680890625911
roll_sd_ret1d_63days,0.05278675533777871
above_sd_ret21d_1Y,0.047378052039407176
roll_sd_ret5d_3M,0.04187928677062553
roll_sd_intraday_3M,0.03830861641277615
roll_sd_volu200_31days,0.03822708438682418
above_sd_ret5d_7M,0.007193453494150379
above_sd_ret5d_3M,0.005972541211046753
above_sd_intraday_1Y,0.002947644828098982
above_sd_ret1d_3M,0.001545626810111396
