Variable,Importance
roll_sd_volu200_251days,0.18199795668879076
roll_sd_ret21d_1Y,0.11109095187431527
corr_sma50_sma200_199d,0.10292097128883008
corr_ema20_sma50_199d,0.10228618001976861
roll_sd_ret5d_7M,0.10191355430380354
ma_cross_l,0.07861109656642688
roll_sd_volu200_31days,0.06519785105461451
corr_ema20_sma50_1Y,0.06269221502644831
roll_sd_ret1d_63days,0.059314835282110526
roll_sd_ret5d_3M,0.04838487886669471
roll_sd_intraday_3M,0.04487233911206391
above_sd_ret21d_1Y,0.031395449538571554
corr_sma50_sma200_1Y,0.006134032369253635
above_sd_ret5d_7M,0.0013704597419320296
above_sd_ret5d_3M,0.0011595605733558934
above_sd_intraday_1Y,6.327162483163443e-4
above_sd_ret1d_3M,2.4951444703440077e-5
