Variable,Importance
roll_sd_volu200_251days,0.13241704327533813
roll_sd_ret5d_7M,0.11212869216686157
corr_sma50_sma200_199d,0.10043356037771103
roll_sd_ret5d_3M,0.08285390076646165
corr_sma50_sma200_1Y,0.08245409370031376
ma_cross_l,0.08040384644716102
roll_sd_ret21d_1Y,0.07567428827845578
corr_ema20_sma50_1Y,0.07174638978363655
corr_ema20_sma50_199d,0.06686448463062174
roll_sd_ret1d_63days,0.0613900466196153
above_sd_ret21d_1Y,0.04779662012983516
roll_sd_intraday_3M,0.044988756556811685
roll_sd_volu200_31days,0.02985208359761962
above_sd_ret5d_7M,0.006539062719731679
above_sd_intraday_1Y,0.0026778639012661576
above_sd_ret5d_3M,0.0017788582618277371
above_sd_ret1d_3M,4.0878673144325594e-7
