Variable,Importance
corr_sma50_sma200_1Y,0.1335490492790258
roll_sd_volu200_251days,0.11343166402607312
roll_sd_ret21d_1Y,0.10142820475290386
roll_sd_ret5d_7M,0.0998722251388634
corr_sma50_sma200_199d,0.08325839126107476
roll_sd_ret1d_63days,0.07087177802706573
corr_ema20_sma50_199d,0.0708196230004528
roll_sd_intraday_3M,0.06590042996740597
ma_cross_l,0.0648426962404871
roll_sd_ret5d_3M,0.05452017209405015
corr_ema20_sma50_1Y,0.04967237242127665
above_sd_ret21d_1Y,0.042822790095141575
roll_sd_volu200_31days,0.03859427654031332
above_sd_ret5d_3M,0.004056022145831341
above_sd_ret5d_7M,0.0037889669143558674
above_sd_intraday_1Y,0.0024764777431372812
above_sd_ret1d_3M,9.486035254129077e-5
