Variable,Importance
roll_sd_volu200_251days,0.1774465293356433
roll_sd_ret21d_1Y,0.141745509066312
roll_sd_ret5d_7M,0.10719236776881635
corr_ema20_sma50_1Y,0.10482225105747976
corr_sma50_sma200_1Y,0.08588014593252863
corr_ema20_sma50_199d,0.08365575817955259
corr_sma50_sma200_199d,0.06215407754995094
roll_sd_intraday_3M,0.05745966012697214
ma_cross_l,0.04868192291753608
roll_sd_volu200_31days,0.0482303452215563
roll_sd_ret1d_63days,0.04298363293538633
roll_sd_ret5d_3M,0.021324619387821306
above_sd_ret21d_1Y,0.014550466910936326
above_sd_ret5d_3M,0.0013904383382659965
above_sd_intraday_1Y,0.0013496331317689814
above_sd_ret5d_7M,0.0011326421394729253
