Variable,Importance
roll_sd_volu200_251days,0.15528287849163885
roll_sd_ret21d_1Y,0.13506423843493914
corr_ema20_sma50_199d,0.10978742640920362
ma_cross_l,0.10132619778485431
roll_sd_ret5d_7M,0.0954147710778879
roll_sd_ret1d_63days,0.08139697961520546
corr_ema20_sma50_1Y,0.07349332059996651
corr_sma50_sma200_1Y,0.06974989570804815
above_sd_ret21d_1Y,0.04226566209095707
roll_sd_ret5d_3M,0.03984859979847772
roll_sd_intraday_3M,0.037450575675274815
corr_sma50_sma200_199d,0.02929475216660525
roll_sd_volu200_31days,0.025979301148616324
above_sd_ret1d_3M,0.0012669842993088107
above_sd_ret5d_7M,0.001249716964258761
above_sd_ret5d_3M,7.20931774265576e-4
above_sd_intraday_1Y,4.0776796049168485e-4
