Variable,Importance
roll_sd_volu200_251days,0.1860905194007455
roll_sd_ret21d_1Y,0.14243226993649255
roll_sd_ret5d_7M,0.11232949917417298
roll_sd_intraday_3M,0.08577543049333246
corr_sma50_sma200_199d,0.08447969996792835
roll_sd_ret5d_3M,0.07149953359958237
corr_ema20_sma50_1Y,0.07009768348870218
ma_cross_l,0.06171347008538709
roll_sd_ret1d_63days,0.05859821905036982
above_sd_ret21d_1Y,0.05192196638699598
corr_ema20_sma50_199d,0.044042862259777035
roll_sd_volu200_31days,0.024972121734932736
corr_sma50_sma200_1Y,0.005554566253884385
above_sd_intraday_1Y,3.2847801563790817e-4
above_sd_ret5d_7M,1.6368015205862766e-4
