Variable,Importance
roll_sd_ret21d_1Y,0.17088955018681817
ma_cross_l,0.09404145833650478
corr_ema20_sma50_199d,0.09108779168941686
corr_sma50_sma200_1Y,0.08977695142462641
corr_sma50_sma200_199d,0.08946358044655134
roll_sd_ret5d_7M,0.08652285083743955
roll_sd_volu200_251days,0.07545648919549744
corr_ema20_sma50_1Y,0.05738145765654406
above_sd_ret21d_1Y,0.05283546531737967
roll_sd_ret1d_63days,0.04954151048020151
roll_sd_intraday_3M,0.04332889320093317
roll_sd_volu200_31days,0.041830559982814174
roll_sd_ret5d_3M,0.04097833663887939
above_sd_ret5d_7M,0.006035673980349235
above_sd_ret5d_3M,0.005316505598583503
above_sd_intraday_1Y,0.004373853716885583
above_sd_ret1d_3M,0.001139071310575159
