Variable,Importance
ma_cross_l,0.10638354978799372
roll_sd_volu200_251days,0.10586198320668869
roll_sd_ret21d_1Y,0.10127806156220115
corr_sma50_sma200_1Y,0.09799735794915643
corr_ema20_sma50_1Y,0.08949747169106585
roll_sd_ret5d_7M,0.0834610489866917
roll_sd_intraday_3M,0.08100595413336499
corr_ema20_sma50_199d,0.07117049375332928
roll_sd_volu200_31days,0.06025548338446762
corr_sma50_sma200_199d,0.05533566410971437
roll_sd_ret1d_63days,0.051732172182154715
roll_sd_ret5d_3M,0.05124946381307284
above_sd_ret21d_1Y,0.03231846225422378
above_sd_ret5d_3M,0.004868458616623817
above_sd_ret5d_7M,0.004727262293034054
above_sd_intraday_1Y,0.002547666648073423
above_sd_ret1d_3M,3.09445628143588e-4
