Variable,Importance
roll_sd_volu200_251days,0.20007921352220376
corr_sma50_sma200_1Y,0.13097740016520634
roll_sd_ret21d_1Y,0.12094153049598723
roll_sd_ret5d_7M,0.10929269206431654
ma_cross_l,0.09821249718844767
corr_ema20_sma50_199d,0.09196074592091107
corr_sma50_sma200_199d,0.08038701924488768
roll_sd_intraday_3M,0.04219722155075597
corr_ema20_sma50_1Y,0.04092405464227116
roll_sd_ret1d_63days,0.028473344642482436
roll_sd_ret5d_3M,0.025669875896537485
roll_sd_volu200_31days,0.023543371231761895
above_sd_ret21d_1Y,0.007341033434230762
