Variable,Importance
corr_sma50_sma200_1Y,0.14997516449607354
roll_sd_ret21d_1Y,0.09694407544405495
roll_sd_ret5d_7M,0.09435058790756354
corr_sma50_sma200_199d,0.08464719919774073
ma_cross_l,0.08460464750018906
corr_ema20_sma50_199d,0.08324441210592617
roll_sd_volu200_251days,0.08201075685932524
corr_ema20_sma50_1Y,0.07285314459612179
roll_sd_ret1d_63days,0.06119317863294154
above_sd_ret21d_1Y,0.04851263301969172
roll_sd_intraday_3M,0.04794914685431113
roll_sd_volu200_31days,0.0421352316130053
roll_sd_ret5d_3M,0.03401323210559985
above_sd_ret5d_7M,0.008504253306153266
above_sd_ret5d_3M,0.005542552096205108
above_sd_ret1d_3M,0.0018661466660125112
above_sd_intraday_1Y,0.001653637599084539
