Variable,Importance
roll_sd_ret21d_1Y,0.1460712224720376
roll_sd_volu200_251days,0.1141852594228405
roll_sd_ret5d_7M,0.10984651477578482
corr_sma50_sma200_1Y,0.09816557952955246
corr_ema20_sma50_1Y,0.09610105466672798
corr_sma50_sma200_199d,0.08034353977686089
corr_ema20_sma50_199d,0.07751829688129189
roll_sd_ret1d_63days,0.05089838984026068
ma_cross_l,0.048573712181483895
roll_sd_volu200_31days,0.04573054482534736
roll_sd_ret5d_3M,0.044746021879800174
above_sd_ret21d_1Y,0.04064556022367517
roll_sd_intraday_3M,0.040200003504064274
above_sd_ret5d_7M,0.0036607895527325206
above_sd_ret5d_3M,0.0030119194450216186
above_sd_intraday_1Y,2.5404387688153567e-4
above_sd_ret1d_3M,4.754714563663462e-5
