Variable,Importance
roll_sd_ret21d_1Y,0.13600660762870775
roll_sd_volu200_251days,0.11233414860820104
roll_sd_ret5d_7M,0.10489444240180266
corr_ema20_sma50_1Y,0.09233601073092344
ma_cross_l,0.08631857493489788
corr_ema20_sma50_199d,0.08275477969399392
corr_sma50_sma200_1Y,0.07372524155719655
roll_sd_ret1d_63days,0.07250981288875244
roll_sd_ret5d_3M,0.06568046134161476
corr_sma50_sma200_199d,0.045949188787013893
roll_sd_intraday_3M,0.04279035160326179
above_sd_ret21d_1Y,0.04232830908670524
roll_sd_volu200_31days,0.03315590896672311
above_sd_ret5d_7M,0.007137684912736418
above_sd_ret5d_3M,0.0012312321917473945
above_sd_ret1d_3M,5.402976099311891e-4
above_sd_intraday_1Y,3.0694705579051496e-4
