Variable,Importance
roll_sd_ret21d_1Y,0.14501146303817772
roll_sd_volu200_251days,0.13075368881343566
corr_sma50_sma200_1Y,0.1220693914693161
roll_sd_ret5d_7M,0.10304933049651445
corr_ema20_sma50_199d,0.08686709648937382
ma_cross_l,0.07314848141499664
corr_sma50_sma200_199d,0.07307324728250848
corr_ema20_sma50_1Y,0.06253978068587916
roll_sd_ret5d_3M,0.05007154862183628
roll_sd_ret1d_63days,0.04600626982895165
roll_sd_intraday_3M,0.0423142403131533
above_sd_ret21d_1Y,0.03225253421326652
roll_sd_volu200_31days,0.02519931549336877
above_sd_ret5d_7M,0.004635557088980187
above_sd_ret5d_3M,0.0025910749433655698
above_sd_intraday_1Y,2.1725356749273525e-4
above_sd_ret1d_3M,1.9972623938295766e-4
