Variable,Importance
corr_sma50_sma200_1Y,0.12418748378527662
roll_sd_volu200_251days,0.11701161414672212
corr_sma50_sma200_199d,0.08929300361980527
roll_sd_ret21d_1Y,0.08475818044747284
roll_sd_ret5d_7M,0.07839222199785224
ma_cross_l,0.0759355450350271
corr_ema20_sma50_1Y,0.06933197401325501
corr_ema20_sma50_199d,0.06722943069096941
roll_sd_ret1d_63days,0.06591303086316964
roll_sd_intraday_3M,0.0653855711499367
above_sd_ret21d_1Y,0.06078357902829286
roll_sd_volu200_31days,0.04625269513517616
roll_sd_ret5d_3M,0.03879597260042991
above_sd_ret5d_7M,0.009466137871898147
above_sd_ret5d_3M,0.0041406079221855486
above_sd_intraday_1Y,0.0019255013121843901
above_sd_ret1d_3M,0.0011974503803460028
