Variable,Importance
roll_sd_ret21d_1Y,0.1351130572747506
roll_sd_ret5d_7M,0.10855080980766528
corr_sma50_sma200_199d,0.10022814753546719
roll_sd_volu200_251days,0.09709112096363236
corr_ema20_sma50_1Y,0.09505216263985874
ma_cross_l,0.08919849791742915
corr_ema20_sma50_199d,0.08710506563414058
roll_sd_ret1d_63days,0.08439280917076208
roll_sd_ret5d_3M,0.07249906389382896
above_sd_ret21d_1Y,0.05022190843711815
roll_sd_intraday_3M,0.03850663569852607
roll_sd_volu200_31days,0.027707288115218484
corr_sma50_sma200_1Y,0.005766717349994323
above_sd_ret5d_7M,0.005721375206965327
above_sd_ret5d_3M,0.0023543962241765566
above_sd_intraday_1Y,3.780760207957507e-4
above_sd_ret1d_3M,1.1286810967040747e-4
