Variable,Importance
roll_sd_volu200_251days,0.14269188137922534
roll_sd_ret21d_1Y,0.13113662995592243
roll_sd_ret5d_7M,0.12704844444460867
corr_ema20_sma50_1Y,0.11225905315690317
corr_sma50_sma200_1Y,0.08893248611401162
corr_sma50_sma200_199d,0.07023641531611993
corr_ema20_sma50_199d,0.0633038239949427
ma_cross_l,0.052277743677056177
roll_sd_volu200_31days,0.048414921072664714
roll_sd_ret1d_63days,0.04561670355528158
roll_sd_intraday_3M,0.04297926785637341
roll_sd_ret5d_3M,0.041414280096374136
above_sd_ret21d_1Y,0.028228956647642117
above_sd_ret5d_7M,0.0026498228679319486
above_sd_ret5d_3M,0.0024564301492211254
above_sd_intraday_1Y,2.503767781792309e-4
above_sd_ret1d_3M,1.0276293754170592e-4
