Variable,Importance
roll_sd_ret21d_1Y,0.12142528179663652
roll_sd_volu200_251days,0.10383572717070824
roll_sd_ret5d_7M,0.10097230536086209
corr_ema20_sma50_199d,0.08775493494044337
corr_ema20_sma50_1Y,0.08695277589210089
ma_cross_l,0.08591394482678213
corr_sma50_sma200_1Y,0.08557084550208126
roll_sd_ret1d_63days,0.0722408660802769
roll_sd_ret5d_3M,0.06824108549272419
above_sd_ret21d_1Y,0.055357909692831817
roll_sd_intraday_3M,0.0464277788328796
corr_sma50_sma200_199d,0.04356829593692821
roll_sd_volu200_31days,0.027291063786861178
above_sd_ret5d_7M,0.009396249081531355
above_sd_ret5d_3M,0.0036103243078364914
above_sd_intraday_1Y,8.228552693149748e-4
above_sd_ret1d_3M,6.177560292008016e-4
