Variable,Importance
corr_ema20_sma50_199d,0.07375695462044578
roll_sd_volu200_251d_lag17,0.06740439167319898
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.057485734533386186
corr_ema20_sma50_251d,0.05454198003796919
roll_sd_ret21d_251d_lag19,0.04998165730256876
roll_sd_ret21d_251d,0.045274863196863004
above_sd_sma199_251d,0.04494978658431412
roll_sd_volu200_251d,0.044127369024898964
corr_sma50_sma200_199d,0.04207728023567522
corr_sma50_sma200_101d,0.04021516694136429
roll_sd_ret5d_147d_lag5,0.03942750128026594
ma_cross_l,0.03942290772480808
roll_mean_ret1d_61d,0.038523261389548126
roll_sd_ret21d_251d_lag7,0.03658543849524971
roll_sd_volu200_251d_lag5,0.03649777063945264
roll_sd_ret5d_147d_lag11,0.03415884628861585
roll_sd_intraday_61d,0.033808069784093585
roll_sd_ret1d_147d,0.032120235383389095
roll_sd_ret1d_61d,0.03075853141089735
roll_sd_ret5d_147d,0.03003693488797264
roll_sd_intraday_251d,0.02990100167430593
roll_mean_ret5d_61d,0.028899156235918162
roll_mean_ret5d_147d,0.022364641956520766
roll_sd_volu200_31d,0.020738864088192904
atr17_open,0.01456274020654727
atr11_open,0.012378914403537482
