Variable,Importance
corr_sma50_sma200_199d,0.07055807750057705
above_sd_sma199_251d,0.07016849850982286
roll_sd_volu200_251d_lag17,0.06119173892168207
roll_sd_intraday_251d,0.059281304706703696
roll_sd_ret1d_147d,0.05531569924392872
roll_mean_ret5d_61d,0.05298742749844475
corr_sma50_sma200_101d,0.049013791025597504
corr_ema20_sma50_251d,0.046186987983533385
roll_sd_ret21d_251d,0.0452396489969161
roll_sd_volu200_251d,0.04436143900648121
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.0401038065168938
roll_sd_intraday_61d,0.037947780321487073
roll_sd_ret21d_251d_lag19,0.03548706614265614
roll_sd_ret5d_147d,0.03386298474586514
roll_mean_ret5d_147d,0.03209564616832743
ma_cross_l,0.031857424601237666
roll_sd_ret1d_61d,0.03023858182308576
roll_sd_volu200_251d_lag5,0.028466590221393386
corr_ema20_sma50_199d,0.028199579329403764
roll_mean_ret1d_61d,0.027873605130705404
roll_sd_ret21d_251d_lag7,0.027768728908655352
roll_sd_ret5d_147d_lag11,0.023492299701528118
atr17_open,0.020760863461721228
roll_sd_ret5d_147d_lag5,0.020727823528580887
roll_sd_volu200_31d,0.014399781353443022
atr11_open,0.012412824651328497
