Variable,Importance
corr_ema20_sma50_251d,0.06511762199248769
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.06048837646388715
roll_sd_intraday_251d,0.05934242393471373
corr_sma50_sma200_101d,0.05618942759262824
above_sd_sma199_251d,0.05376027693748758
corr_ema20_sma50_199d,0.0506072404253562
corr_sma50_sma200_199d,0.04901680633839261
ma_cross_l,0.044763898519732497
roll_sd_volu200_251d_lag17,0.04323786319634015
roll_sd_volu200_251d,0.04145585507051615
roll_sd_intraday_61d,0.040778551016741986
roll_sd_ret1d_147d,0.04023256593299088
roll_sd_ret1d_61d,0.04011598936981003
roll_sd_volu200_251d_lag5,0.03927677531106461
roll_mean_ret5d_147d,0.037553106451889286
roll_sd_ret21d_251d,0.037105958221052615
roll_sd_ret21d_251d_lag19,0.034747466676635225
roll_sd_volu200_31d,0.0342997282551243
roll_mean_ret5d_61d,0.027054912158410934
roll_sd_ret21d_251d_lag7,0.025840528411059473
roll_mean_ret1d_61d,0.025711560933722837
roll_sd_ret5d_147d,0.0243468624196469
atr17_open,0.020616744573239046
roll_sd_ret5d_147d_lag11,0.018750476686153955
atr11_open,0.01715758604638392
roll_sd_ret5d_147d_lag5,0.012431397064532028
