Variable,Importance
above_sd_sma199_251d,0.06826315353405085
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.05378045834798833
corr_ema20_sma50_251d,0.05367613235694994
roll_sd_ret21d_251d_lag19,0.053614356697727
roll_mean_ret1d_61d,0.05174398335628955
corr_sma50_sma200_101d,0.04751993150576134
corr_ema20_sma50_199d,0.04627423026433563
roll_sd_ret21d_251d,0.045720550904382096
roll_sd_ret5d_147d,0.04479838969865961
roll_sd_intraday_251d,0.044300379636923036
roll_sd_ret21d_251d_lag7,0.04376742522306927
roll_sd_volu200_251d_lag17,0.04226991750482495
ma_cross_l,0.04183297824556387
roll_sd_ret1d_147d,0.039166282205071117
roll_sd_intraday_61d,0.037210171671205314
corr_sma50_sma200_199d,0.03308023977370905
roll_mean_ret5d_147d,0.03273502179681385
roll_sd_volu200_251d,0.03222047637117536
roll_sd_ret1d_61d,0.029656687617706356
roll_sd_volu200_251d_lag5,0.029038301689095335
roll_sd_ret5d_147d_lag5,0.028532502241057866
roll_sd_ret5d_147d_lag11,0.0250979492851039
roll_mean_ret5d_61d,0.0240414337524185
atr17_open,0.020743123132572403
roll_sd_volu200_31d,0.015549334043972783
atr11_open,0.015366589143572692
