Variable,Importance
roll_sd_intraday_251d,0.09131281579587197
above_sd_sma199_251d,0.05497366304936454
corr_sma50_sma200_199d,0.04811220287127996
roll_sd_ret1d_147d,0.04520285617854251
ma_cross_l,0.04512271735420248
roll_sd_volu200_251d_lag17,0.04384781077343634
roll_sd_ret21d_251d,0.043778364435567596
roll_mean_ret1d_61d,0.042435238871483004
roll_sd_volu200_251d,0.041169892922847826
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.04023199243486952
corr_ema20_sma50_251d,0.039332376919952804
corr_sma50_sma200_101d,0.038917902471659147
roll_sd_volu200_251d_lag5,0.03733344080290295
roll_sd_intraday_61d,0.03716654888042159
roll_mean_ret5d_147d,0.03577042777389596
roll_sd_ret1d_61d,0.035120333085349356
roll_sd_ret21d_251d_lag19,0.034402974415583945
roll_mean_ret5d_61d,0.033619423489178235
corr_ema20_sma50_199d,0.03288720923119602
roll_sd_volu200_31d,0.03279488882451821
roll_sd_ret21d_251d_lag7,0.0315282801508846
roll_sd_ret5d_147d_lag11,0.02986802668586419
roll_sd_ret5d_147d_lag5,0.022481959095127235
atr17_open,0.022394597625277984
roll_sd_ret5d_147d,0.02153791652883024
atr11_open,0.018656139331891815
