Variable,Importance
corr_sma50_sma200_199d,0.0906595040303058
roll_sd_ret1d_147d,0.08263474408991171
corr_sma50_sma200_101d,0.07462851965340646
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.07097656339126066
corr_ema20_sma50_251d,0.0668126320203484
roll_sd_intraday_251d,0.0649201570732971
roll_sd_ret21d_251d_lag19,0.056150525922571005
roll_sd_ret21d_251d_lag7,0.04491767937599517
roll_sd_volu200_251d_lag5,0.04136099727370325
roll_mean_ret5d_61d,0.040968200445346444
roll_sd_ret5d_147d,0.04073401019823911
roll_sd_volu200_251d,0.03878918497669092
roll_mean_ret1d_61d,0.02983869907383135
roll_sd_volu200_251d_lag17,0.029812782765691267
above_sd_sma199_251d,0.02948856173550581
roll_sd_ret5d_147d_lag5,0.027932002441363818
roll_sd_ret21d_251d,0.02747923797002007
roll_sd_ret5d_147d_lag11,0.026235124373187608
corr_ema20_sma50_199d,0.02313001557171926
ma_cross_l,0.02185585553344776
roll_mean_ret5d_147d,0.016484992897828416
roll_sd_ret1d_61d,0.01598977071183357
roll_sd_intraday_61d,0.015498872085191778
roll_sd_volu200_31d,0.009640474209784948
atr11_open,0.00946949323151358
atr17_open,0.003591398948004744
