Variable,Importance
corr_ema20_sma50_251d,0.07851878813973406
roll_sd_intraday_251d,0.076968763442404
corr_ema20_sma50_199d,0.061766117982238536
roll_sd_ret1d_147d,0.05672998438236307
roll_sd_ret21d_251d_lag19,0.05353661750264372
corr_sma50_sma200_199d,0.050713193639380684
roll_sd_volu200_251d_lag17,0.048623749155826325
above_sd_sma199_251d,0.04823078491760293
roll_sd_ret21d_251d,0.045604773075918134
corr_sma50_sma200_101d,0.0431213662770062
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.041279003150882475
roll_sd_volu200_31d,0.03882791387141638
roll_sd_volu200_251d,0.03810644590671213
roll_sd_ret1d_61d,0.037217180996050425
roll_sd_ret5d_147d,0.036139424037323876
roll_sd_ret21d_251d_lag7,0.03503937396228057
roll_sd_intraday_61d,0.03219500138714655
roll_sd_volu200_251d_lag5,0.031691416933218086
ma_cross_l,0.030178596515509973
roll_mean_ret5d_147d,0.026216061219635302
atr17_open,0.01768755073827203
roll_sd_ret5d_147d_lag11,0.016900159233457782
roll_sd_ret5d_147d_lag5,0.016126348122436487
roll_mean_ret5d_61d,0.015752667770700415
roll_mean_ret1d_61d,0.01493031084234936
atr11_open,0.007898406797490496
