Variable,Importance
above_sd_sma199_251d,0.07833256637638078
roll_sd_volu200_251d_lag17,0.07653261943676688
corr_sma50_sma200_199d,0.06906203266177417
roll_sd_ret1d_147d,0.0673478109725144
roll_mean_ret5d_61d,0.05845721606214645
roll_sd_intraday_251d,0.05623241243840297
corr_sma50_sma200_101d,0.05409265698343733
roll_sd_intraday_61d,0.04742003725708602
roll_sd_volu200_251d,0.04466582787063857
roll_sd_ret21d_251d,0.03969196500222476
corr_ema20_sma50_251d,0.03586493666513508
roll_mean_ret5d_147d,0.034886925942162944
roll_mean_ret1d_61d,0.03473329325130452
ma_cross_l,0.03399592980573808
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.03387949578460115
roll_sd_ret5d_147d,0.03310080635289604
roll_sd_ret1d_61d,0.030680268529640776
roll_sd_volu200_251d_lag5,0.028269582003220682
roll_sd_ret21d_251d_lag19,0.02719967546375589
corr_ema20_sma50_199d,0.022975267469341833
roll_sd_ret5d_147d_lag5,0.020773129271414593
roll_sd_ret21d_251d_lag7,0.01967191971403887
roll_sd_ret5d_147d_lag11,0.01943637455844032
atr17_open,0.012620825792532358
roll_sd_volu200_31d,0.012240140277760976
atr11_open,0.007836284056643555
