Variable,Importance
above_sd_sma199_251d,0.07840149146825581
roll_sd_volu200_251d_lag17,0.05919458885572675
ma_cross_l,0.05537947495120188
corr_sma50_sma200_101d,0.05193233401799003
roll_sd_ret21d_251d_lag19,0.05167969571883332
corr_ema20_sma50_199d,0.04798489141387227
corr_ema20_sma50_251d,0.04716291418267154
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.047149824568150145
roll_sd_volu200_251d_lag5,0.047118617354130254
roll_mean_ret5d_147d,0.042780399507909454
roll_sd_intraday_251d,0.04256327857004351
roll_sd_ret5d_147d,0.039474245021234304
roll_sd_ret5d_147d_lag11,0.03923828552513013
corr_sma50_sma200_199d,0.03914061278158053
roll_sd_ret1d_147d,0.03796664227061411
roll_sd_ret21d_251d,0.037744187486487536
roll_sd_intraday_61d,0.03035425428908088
roll_sd_volu200_251d,0.030145488357908725
roll_sd_volu200_31d,0.030144461537885466
roll_sd_ret21d_251d_lag7,0.02694631041566259
roll_mean_ret1d_61d,0.026866421321026415
roll_mean_ret5d_61d,0.02487186555980264
roll_sd_ret5d_147d_lag5,0.023670180271308804
atr17_open,0.019634044137036306
roll_sd_ret1d_61d,0.01389987227178182
atr11_open,0.008555618144674777
