Variable,Importance
corr_sma50_sma200_199d,0.06679629476401687
above_sd_sma199_251d,0.06417150417310354
corr_ema20_sma50_251d,0.05865985559083416
corr_ema20_sma50_199d,0.052518052155430546
roll_mean_ret5d_147d,0.05035141729682389
roll_sd_ret1d_61d,0.04824596281150262
roll_sd_volu200_251d_lag17,0.04770079931409771
roll_sd_intraday_61d,0.04761881761389529
corr_rollSdRet5d3M_rollSdRet5d7M_229d,0.0465393445258962
roll_sd_intraday_251d,0.045759164627327126
corr_sma50_sma200_101d,0.04520355409503162
roll_sd_ret21d_251d_lag19,0.042464214100073096
roll_sd_volu200_251d,0.03890011480594278
roll_sd_ret5d_147d,0.03765514955613303
roll_sd_volu200_251d_lag5,0.033307884641549095
roll_sd_ret1d_147d,0.032842016292991584
roll_mean_ret5d_61d,0.028839395828406524
ma_cross_l,0.02843662852793388
roll_sd_ret21d_251d,0.02629577618556064
roll_sd_ret5d_147d_lag11,0.025361915377686076
atr17_open,0.024895671570114027
roll_mean_ret1d_61d,0.023825794376849067
roll_sd_ret21d_251d_lag7,0.02235956559511686
roll_sd_ret5d_147d_lag5,0.021878098495150548
roll_sd_volu200_31d,0.020432044278076045
atr11_open,0.018940963400457204
